,Ostschweiz,Schweiz
2020/09,0.0,0.6522641404285787
2020/10,1.0260455974663514,4.314097911255688
2020/11,7.98035464696051,25.91891715913563
2020/12,28.61527166267269,75.04470584088806
2020/13,31.351393255916292,84.05052827101598
2020/14,30.211342592064796,68.93402073582031
2020/15,20.634917015712176,41.19562992180497
2020/16,10.032445841893214,21.02121449065437
2020/17,8.778390111656563,13.354250032985112
2020/18,2.964131726013904,8.010261373684301
2020/19,1.2540557302366517,4.577292213533886
2020/20,0.684030398310901,2.643386253315819
2020/21,0.22801013277030033,1.7508142716767114
2020/22,0.45602026554060066,1.4418470472631741
2020/23,0.3420151991554505,1.121436592315802
2020/24,0.9120405310812013,1.6020522747368602
2020/25,0.45602026554060066,1.9567924212857362
2020/26,3.3061469251693545,4.1081197616466625
2020/27,6.498288783953559,7.804283224075275
2020/28,5.358238120102057,7.277894619518879
2020/29,5.7002533192575084,8.181909831691822
2020/30,6.840303983109009,9.429221959879804
2020/31,5.814258385642658,13.216931266579095
2020/32,9.690430642737763,12.587553587218187
2020/33,12.084537036825916,18.011644860255842
2020/34,11.970531970440765,21.227192640263397
2020/35,7.52433438141991,23.939238276782223
2020/36,10.830481306589265,28.12746065216573
2020/37,18.582825820779473,32.72763932676729
2020/38,21.43295248040823,33.24258470078985
2020/39,13.452597833447719,25.4154150156469
2020/40,29.29930206098359,39.605020877601945
2020/41,75.0153336814288,100.16259686265526
2020/42,182.2941011498551,222.92557402963405
2020/43,367.66633909210924,454.04450112149385
2020/44,500.8242566299646,638.7725716291876
2020/45,452.3721034162758,585.8247439491344
2020/46,375.7606988054549,453.0374968345164
2020/47,350.90759433349217,344.5785578348309
2020/48,353.30170072758034,299.5494456841913
2020/49,403.6919400698167,312.13699927140954
2020/50,465.59669111695325,343.2969160150414
2020/51,451.004042619654,334.8060389589361
2020/52,319.5562010775759,274.01959836320606
2020/53,309.18174003652723,267.74870803066466
2021/01,305.41957284581724,252.12869835198026
2021/02,173.6297161045837,173.90277442268615
2021/03,166.33339185593408,154.31196374876112
2021/04,135.21000873278808,131.78024282764056
2021/05,102.37654961386484,115.08456947877572
2021/06,75.6993640797397,89.9895649180762
2021/07,71.8231918226446,79.86230589563247
2021/08,64.29885744122468,82.5056921489483
2021/09,75.35734888058425,86.75113067700097
2021/10,77.63745020828726,100.5058937786703
2021/11,94.05417976774888,120.0852612220615
2021/12,130.07978074545633,143.38367858894898
2021/13,112.40899545575806,140.5915303386933
2021/14,133.38592767062568,161.76150682628753
2021/15,122.3274362312661,161.08635622479127
2021/16,149.91666229647245,166.12137765967856
2021/17,130.19378581184148,135.79681674501657
2021/18,109.7868789288996,117.83094480689606
2021/19,98.27236722399944,89.70348415473033
2021/20,114.00506638515016,84.03908504048215
2021/21,79.91755153599026,58.46346479736155
2021/22,63.84283717568408,40.23439855696286
2021/23,34.42953004831535,26.468192224759694
2021/24,20.178896750171578,14.166719400887377
2021/25,9.576425576352614,8.513763517173027
2021/26,11.058491439359566,11.740754527714417
2021/27,20.52091194932703,23.42429290275966
2021/28,28.84328179544299,43.46138956750425
2021/29,37.2796567079441,56.67832083408334
2021/30,39.901773234802555,60.09984676369993
2021/31,76.61140461082091,87.22030312888819
2021/32,220.14378318972496,161.80727974842287
2021/33,258.2214753623651,205.4288745434008
2021/34,246.8209687238501,204.65073486710006
2021/35,312.4878869616966,214.70933450634075
2021/36,339.50708769497714,207.66030449749857
2021/37,247.16298392300553,145.55789239037756
2021/38,163.0272449307647,106.74245441961023
2021/39,145.6984748402219,87.50638389223406
2021/40,117.88123864224526,72.90482173106096
2021/41,119.24929943886707,73.4769832577527
2021/42,197.45677497908005,99.51033272222669
2021/43,244.9968876616877,132.02055066885112
2021/44,345.8913714125456,197.109645945303
2021/45,528.2994776287858,284.71901891234154
2021/46,726.554288072562,431.7302015805161
2021/47,951.6002891168483,584.6804208957509
2021/48,1064.9213251036876,721.6444471552186
2021/49,995.4922396751313,735.8912691698428
2021/50,843.4094811173409,693.1736895870379
2021/51,662.2554306313373,777.8879252290162
2021/52,830.9829288813594,1283.6214986718414
2022/01,1297.1496453302384,2069.405252969204
2022/02,1482.863898471648,2120.9913362157304
2022/03,2216.258490527319,2717.320965794925
2022/04,2495.570903170937,2843.333820433513
2022/05,2012.5314368970558,2307.744858527913
2022/06,1753.85394126915,1730.9259370089067
2022/07,1390.177779500521,1256.638361073059
2022/08,1440.2260036436019,1203.4502255517955
2022/09,2120.266224631023,1731.6697469936057
2022/10,2365.9471426910213,2174.957611413295
2022/11,2062.5796610401367,2092.4748057254146
2022/12,1345.1457782783866,1394.9526885355194
2022/13,678.6721601907989,761.9589483259183
2022/14,352.0476449973437,468.31420959718565
2022/15,237.92857354580838,355.01478408168816
2022/16,178.98795422468575,255.64177012586754
2022/17,150.9427078939388,191.8800895913405
2022/18,121.75741089934036,150.30683306191898
2022/19,99.18440775508064,128.1298522873473
2022/20,67.26298916723859,97.89683721695599
2022/21,51.41628493970272,76.53232581028658
2022/22,75.0153336814288,116.68662175351258
2022/23,104.770656007953,170.7902157174831
2022/24,171.577624909651,268.4009721710932
2022/25,226.4140618409082,361.1826853394251
2022/26,322.86234800274525,505.7335734428252
2022/27,456.7042959389115,634.9848623224883
2022/28,471.1829393698256,584.0167135247885
2022/29,311.91786162977087,449.02092291714035
2022/30,222.99390984935368,306.06064385794326
2022/31,174.19974143650944,227.56008239583713
2022/32,183.89017207924718,216.28850032000992
2022/33,155.0468902838042,190.58700454101717
2022/34,143.53237857890406,174.13163903336286
