date,verabreichte Dosen
2021-01-31,111373.0
2021-02-07,99907.0
2021-02-14,133590.0
2021-02-21,130322.0
2021-02-28,137775.0
2021-03-07,151289.0
2021-03-14,151464.0
2021-03-21,150757.0
2021-03-28,181427.0
2021-04-04,174133.0
2021-04-11,209757.0
2021-04-18,293946.0
2021-04-25,365070.0
2021-05-02,386922.0
2021-05-09,450431.0
2021-05-16,467089.0
2021-05-23,568044.0
2021-05-30,554350.0
2021-06-06,632931.0
2021-06-13,641362.0
2021-06-20,600866.0
2021-06-27,517562.0
2021-07-04,447307.0
2021-07-11,412027.0
2021-07-18,363794.0
2021-07-25,293985.0
2021-08-01,187030.0
2021-08-08,136549.0
2021-08-15,133354.0
2021-08-22,142986.0
2021-08-29,159275.0
2021-09-05,155438.0
2021-09-12,191649.0
2021-09-19,219384.0
2021-09-26,193178.0
2021-10-03,163800.0
2021-10-10,162695.0
2021-10-17,167666.0
