date,verabreichte Dosen
2021-01-31,111401.0
2021-02-07,99913.0
2021-02-14,133615.0
2021-02-21,130346.0
2021-02-28,137803.0
2021-03-07,151317.0
2021-03-14,151474.0
2021-03-21,150780.0
2021-03-28,181451.0
2021-04-04,174162.0
2021-04-11,209777.0
2021-04-18,293966.0
2021-04-25,365093.0
2021-05-02,386937.0
2021-05-09,450448.0
2021-05-16,467099.0
2021-05-23,568070.0
2021-05-30,554366.0
2021-06-06,632947.0
2021-06-13,641397.0
2021-06-20,600883.0
2021-06-27,517588.0
2021-07-04,447320.0
2021-07-11,412035.0
2021-07-18,363802.0
2021-07-25,293976.0
2021-08-01,187058.0
2021-08-08,136564.0
2021-08-15,133361.0
2021-08-22,142995.0
2021-08-29,159338.0
2021-09-05,155477.0
2021-09-12,191695.0
2021-09-19,219522.0
2021-09-26,193575.0
2021-10-03,164094.0
2021-10-10,162932.0
2021-10-17,168443.0
2021-10-24,139990.0
2021-10-31,68981.0
