Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^13.09.2021^,57.03,6.61,195844.0
TI ^13.09.2021^,57.0,5.58,351491.0
BL ^13.09.2021^,56.94,5.73,289468.0
ZH ^13.09.2021^,56.46,6.98,1539275.0
ZG ^13.09.2021^,55.12,7.42,127642.0
BE ^13.09.2021^,55.05,6.26,1039474.0
SH ^13.09.2021^,54.49,7.26,82348.0
SO ^13.09.2021^,53.62,7.27,275247.0
GE ^13.09.2021^,53.23,7.31,504128.0
AG ^13.09.2021^,53.16,5.79,685845.0
CH ^13.09.2021^,52.91,7.48,8606033.0
NE ^13.09.2021^,52.62,10.41,176496.0
GR ^13.09.2021^,51.67,9.05,199021.0
VD ^13.09.2021^,51.42,10.87,805098.0
LU ^13.09.2021^,50.56,6.38,413120.0
FR ^13.09.2021^,50.32,10.31,321783.0
JU ^13.09.2021^,49.99,7.92,73584.0
VS ^13.09.2021^,49.95,9.39,345525.0
TG ^13.09.2021^,47.54,7.05,279547.0
NW ^13.09.2021^,47.37,7.72,43087.0
UR ^13.09.2021^,47.13,7.71,36703.0
SZ ^13.09.2021^,46.94,5.44,160480.0
SG ^13.09.2021^,46.38,8.43,510734.0
AR ^13.09.2021^,45.29,7.21,55445.0
GL ^13.09.2021^,44.81,9.17,40590.0
OW ^13.09.2021^,44.01,5.63,37930.0
AI ^13.09.2021^,41.87,4.99,16128.0
all ^13.09.2021^,,,
neighboring_chfl ^13.09.2021^,,,
unknown ^13.09.2021^,,,
