Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^21.03.2022^,73.26,1.1,196735.0
TI ^21.03.2022^,72.28,1.14,350986.0
BL ^21.03.2022^,71.55,1.18,290969.0
NE ^21.03.2022^,71.27,2.66,175894.0
ZH ^21.03.2022^,71.12,0.59,1553423.0
BE ^21.03.2022^,70.49,0.71,1043132.0
VD ^21.03.2022^,70.26,0.77,814762.0
SO ^21.03.2022^,69.96,0.92,277462.0
GR ^21.03.2022^,69.73,1.55,200096.0
GE ^21.03.2022^,69.39,1.62,506343.0
ZG ^21.03.2022^,69.39,0.75,128794.0
FR ^21.03.2022^,69.33,0.82,325496.0
CH ^21.03.2022^,69.14,0.99,8670300.0
SH ^21.03.2022^,69.06,0.99,83107.0
AG ^21.03.2022^,68.8,0.74,694072.0
VS ^21.03.2022^,68.11,1.8,348503.0
LU ^21.03.2022^,67.72,1.45,416347.0
NW ^21.03.2022^,67.58,1.14,43520.0
OW ^21.03.2022^,66.28,4.58,38108.0
UR ^21.03.2022^,65.22,0.68,36819.0
JU ^21.03.2022^,64.28,2.78,73709.0
GL ^21.03.2022^,63.44,0.69,40851.0
SG ^21.03.2022^,63.43,0.4,514504.0
TG ^21.03.2022^,62.53,1.5,282909.0
AR ^21.03.2022^,61.73,0.8,55309.0
SZ ^21.03.2022^,60.35,0.9,162157.0
AI ^21.03.2022^,57.14,0.31,16293.0
all ^21.03.2022^,,,
neighboring_chfl ^21.03.2022^,,,
unknown ^21.03.2022^,,,
