date,verabreichte Dosen
2021-01-31,111189.0
2021-02-07,99672.0
2021-02-14,133325.0
2021-02-21,130110.0
2021-02-28,137526.0
2021-03-07,151058.0
2021-03-14,151278.0
2021-03-21,150420.0
2021-03-28,181142.0
2021-04-04,173701.0
2021-04-11,209527.0
2021-04-18,293558.0
2021-04-25,364524.0
2021-05-02,386308.0
2021-05-09,449897.0
2021-05-16,467291.0
2021-05-23,567354.0
2021-05-30,553544.0
2021-06-06,631632.0
2021-06-13,640572.0
2021-06-20,600451.0
2021-06-27,516110.0
2021-07-04,446309.0
2021-07-11,410726.0
2021-07-18,362850.0
2021-07-25,292906.0
2021-08-01,186146.0
2021-08-08,135208.0
2021-08-15,131573.0
2021-08-22,95817.0
