date,verabreichte Dosen
2021-01-31,111403.0
2021-02-07,99914.0
2021-02-14,133623.0
2021-02-21,130359.0
2021-02-28,137813.0
2021-03-07,151322.0
2021-03-14,151478.0
2021-03-21,150794.0
2021-03-28,181464.0
2021-04-04,174169.0
2021-04-11,209783.0
2021-04-18,293979.0
2021-04-25,365104.0
2021-05-02,386942.0
2021-05-09,450450.0
2021-05-16,467108.0
2021-05-23,568080.0
2021-05-30,554372.0
2021-06-06,632953.0
2021-06-13,641404.0
2021-06-20,600885.0
2021-06-27,517589.0
2021-07-04,447324.0
2021-07-11,412039.0
2021-07-18,363806.0
2021-07-25,293989.0
2021-08-01,187058.0
2021-08-08,136571.0
2021-08-15,133396.0
2021-08-22,142998.0
2021-08-29,159351.0
2021-09-05,155480.0
2021-09-12,191713.0
2021-09-19,219563.0
2021-09-26,193619.0
2021-10-03,164210.0
2021-10-10,162962.0
2021-10-17,168474.0
2021-10-24,140055.0
2021-10-31,98530.0
