date,geboostert,vollst. geimpft,nicht vollst. geimpft
2021-07-04,,0.2,0.0
2021-07-11,,0.0,1.8
2021-07-18,,0.4,3.9
2021-07-25,,0.8,5.0
2021-08-01,,0.7,9.1
2021-08-08,,0.9,10.5
2021-08-15,,1.6,22.5
2021-08-22,,2.4,28.1
2021-08-29,,2.4,33.2
2021-09-05,,2.5,31.3
2021-09-12,,2.6,23.1
2021-09-19,,2.5,24.6
2021-09-26,,2.0,26.0
2021-10-03,,1.8,16.9
2021-10-10,,2.5,17.9
2021-10-17,,2.5,17.3
2021-10-24,,3.4,17.0
2021-10-31,,3.8,27.5
2021-11-07,,5.2,32.1
2021-11-14,,6.8,43.2
2021-11-21,,10.4,73.2
2021-11-28,,12.8,89.6
2021-12-05,7.9,16.9,104.3
2021-12-12,7.0,20.2,104.9
2021-12-19,5.9,15.3,119.1
2021-12-26,7.3,19.2,106.6
2022-01-02,8.0,18.1,103.8
2022-01-09,7.6,24.6,100.7
2022-01-16,7.3,24.9,85.5
2022-01-23,7.5,29.5,81.3
2022-01-30,10.0,29.4,88.8
2022-02-06,10.1,32.6,89.4
2022-02-13,9.6,23.8,83.4
2022-02-20,9.5,20.7,65.4
2022-02-27,8.1,14.8,47.7
2022-03-06,6.3,9.7,35.0
