date,verabreichte Dosen
2021-01-31,111382.0
2021-02-07,99312.0
2021-02-14,134536.0
2021-02-21,129158.0
2021-02-28,136982.0
2021-03-07,151015.0
2021-03-14,150820.0
2021-03-21,150504.0
2021-03-28,181264.0
2021-04-04,172588.0
2021-04-11,209464.0
2021-04-18,292662.0
2021-04-25,363815.0
2021-05-02,385391.0
2021-05-09,448951.0
2021-05-16,466461.0
2021-05-23,566444.0
2021-05-30,551769.0
2021-06-06,630726.0
2021-06-13,637229.0
2021-06-20,597610.0
2021-06-27,512988.0
2021-07-04,443397.0
2021-07-11,212680.0
