date,verabreichte Dosen
2021-01-31,111359.0
2021-02-07,99448.0
2021-02-14,133715.0
2021-02-21,129461.0
2021-02-28,137093.0
2021-03-07,151134.0
2021-03-14,151167.0
2021-03-21,150875.0
2021-03-28,180583.0
2021-04-04,172914.0
2021-04-11,209063.0
2021-04-18,292997.0
2021-04-25,363848.0
2021-05-02,385300.0
2021-05-09,448531.0
2021-05-16,466449.0
2021-05-23,566078.0
2021-05-30,552350.0
2021-06-06,630423.0
2021-06-13,638872.0
2021-06-20,598758.0
2021-06-27,512203.0
2021-07-04,442926.0
2021-07-11,408289.0
2021-07-18,258561.0
