date,verabreichte Dosen
2021-01-31,111183.0
2021-02-07,99667.0
2021-02-14,133309.0
2021-02-21,130106.0
2021-02-28,137519.0
2021-03-07,151048.0
2021-03-14,151275.0
2021-03-21,150395.0
2021-03-28,181136.0
2021-04-04,173574.0
2021-04-11,209502.0
2021-04-18,293431.0
2021-04-25,364508.0
2021-05-02,386172.0
2021-05-09,449862.0
2021-05-16,467262.0
2021-05-23,567176.0
2021-05-30,553408.0
2021-06-06,631530.0
2021-06-13,640384.0
2021-06-20,600270.0
2021-06-27,515965.0
2021-07-04,446181.0
2021-07-11,410559.0
2021-07-18,362596.0
2021-07-25,292388.0
2021-08-01,185589.0
2021-08-08,134796.0
2021-08-15,130576.0
