Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^29.08.2021^,55.79,5.12,195844.0
ZH ^29.08.2021^,55.51,5.08,1539275.0
BL ^29.08.2021^,55.44,4.89,289468.0
TI ^29.08.2021^,55.31,4.61,351491.0
BE ^29.08.2021^,53.56,5.44,1039474.0
ZG ^29.08.2021^,53.55,6.08,127642.0
SH ^29.08.2021^,53.45,5.52,82348.0
SO ^29.08.2021^,52.32,4.59,275247.0
AG ^29.08.2021^,51.6,4.07,685845.0
CH ^29.08.2021^,51.57,5.94,8606033.0
GE ^29.08.2021^,51.44,6.23,504128.0
NE ^29.08.2021^,50.81,8.93,176496.0
GR ^29.08.2021^,50.19,6.59,199021.0
VD ^29.08.2021^,50.06,9.54,805098.0
FR ^29.08.2021^,48.94,8.39,321783.0
LU ^29.08.2021^,48.94,5.57,413120.0
VS ^29.08.2021^,48.53,8.32,345525.0
JU ^29.08.2021^,48.12,6.07,73584.0
NW ^29.08.2021^,46.62,5.49,43087.0
TG ^29.08.2021^,46.45,4.82,279547.0
SZ ^29.08.2021^,45.97,4.04,160480.0
UR ^29.08.2021^,45.93,5.83,36703.0
SG ^29.08.2021^,45.23,6.01,510734.0
AR ^29.08.2021^,44.77,5.08,55445.0
GL ^29.08.2021^,44.14,5.9,40590.0
OW ^29.08.2021^,43.5,4.48,37930.0
AI ^29.08.2021^,40.98,4.01,16128.0
all ^29.08.2021^,,,
neighboring_chfl ^29.08.2021^,,,
unknown ^29.08.2021^,,,
