Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
TI ^10.08.2021^,53.84,3.75,351491.0
BL ^10.08.2021^,53.65,4.3,289468.0
ZH ^10.08.2021^,53.51,5.08,1539275.0
BS ^10.08.2021^,53.27,5.03,195844.0
ZG ^10.08.2021^,51.87,4.89,127642.0
SH ^10.08.2021^,51.36,5.14,82348.0
BE ^10.08.2021^,51.26,5.1,1039474.0
SO ^10.08.2021^,50.6,3.85,275247.0
AG ^10.08.2021^,49.53,3.45,685845.0
CH ^10.08.2021^,49.45,5.69,8606033.0
GE ^10.08.2021^,48.9,6.63,504128.0
NE ^10.08.2021^,48.55,8.71,176496.0
GR ^10.08.2021^,48.29,5.68,199021.0
VD ^10.08.2021^,47.32,10.19,805098.0
LU ^10.08.2021^,46.99,4.73,413120.0
FR ^10.08.2021^,46.32,8.02,321783.0
VS ^10.08.2021^,46.11,8.26,345525.0
JU ^10.08.2021^,45.78,5.76,73584.0
TG ^10.08.2021^,45.01,4.13,279547.0
UR ^10.08.2021^,44.87,4.1,36703.0
SZ ^10.08.2021^,44.36,3.69,160480.0
NW ^10.08.2021^,44.13,5.26,43087.0
SG ^10.08.2021^,43.51,5.75,510734.0
AR ^10.08.2021^,43.25,4.43,55445.0
GL ^10.08.2021^,41.3,6.13,40590.0
OW ^10.08.2021^,40.82,4.23,37930.0
AI ^10.08.2021^,39.61,3.66,16128.0
all ^10.08.2021^,,,
neighboring_chfl ^10.08.2021^,,,
unknown ^10.08.2021^,,,
