Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
TI ^23.06.2021^,36.71,13.92,351491
BL ^23.06.2021^,36.53,13.39,289468
GE ^23.06.2021^,36.09,17.7,504128
BS ^23.06.2021^,36.05,17.08,195844
BE ^23.06.2021^,35.54,14.77,1039474
OW ^23.06.2021^,35.13,4.53,37930
SH ^23.06.2021^,34.97,16.61,82348
UR ^23.06.2021^,34.81,10.91,36703
LU ^23.06.2021^,33.65,11.56,413120
GL ^23.06.2021^,33.54,8.5,40590
CH ^23.06.2021^,32.33,16.48,8606033
NW ^23.06.2021^,32.2,11.53,43087
GR ^23.06.2021^,31.96,14.46,199021
SO ^23.06.2021^,31.88,18.75,275247
VS ^23.06.2021^,31.64,11.8,345525
AG ^23.06.2021^,31.43,15.32,685845
ZH ^23.06.2021^,31.35,20.23,1539275
ZG ^23.06.2021^,31.34,18.36,127642
TG ^23.06.2021^,31.04,13.82,279547
AR ^23.06.2021^,30.92,12.72,55445
VD ^23.06.2021^,30.76,19.35,805098
SZ ^23.06.2021^,30.66,12.28,160480
JU ^23.06.2021^,29.92,15.21,73584
AI ^23.06.2021^,29.35,11.83,16128
NE ^23.06.2021^,28.86,19.51,176496
SG ^23.06.2021^,28.41,16.99,510734
FR ^23.06.2021^,25.35,19.24,321783
