date,nicht/teilw. geimpft,vollständig geimpft
2021-01-31,452,0
2021-02-07,411,0
2021-02-14,316,1
2021-02-21,304,1
2021-02-28,288,2
2021-03-07,336,1
2021-03-14,353,3
2021-03-21,401,2
2021-03-28,460,4
2021-04-04,536,7
2021-04-11,506,5
2021-04-18,488,8
2021-04-25,486,5
2021-05-02,456,7
2021-05-09,330,5
2021-05-16,233,4
2021-05-23,249,2
2021-05-30,141,7
2021-06-06,116,3
2021-06-13,73,4
2021-06-20,44,4
2021-06-27,27,2
2021-07-04,17,0
2021-07-11,28,0
2021-07-18,56,3
2021-07-25,76,11
2021-08-01,112,8
2021-08-08,168,6
2021-08-15,344,17
2021-08-22,467,21
