Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
ZH ^18.08.2021^,54.51,4.78,1539275.0
BL ^18.08.2021^,54.5,4.52,289468.0
TI ^18.08.2021^,54.28,4.38,351491.0
BS ^18.08.2021^,54.25,5.18,195844.0
SH ^18.08.2021^,52.69,4.77,82348.0
ZG ^18.08.2021^,52.59,5.15,127642.0
BE ^18.08.2021^,52.38,4.98,1039474.0
SO ^18.08.2021^,51.76,3.5,275247.0
AG ^18.08.2021^,50.48,3.41,685845.0
CH ^18.08.2021^,50.4,5.61,8606033.0
GE ^18.08.2021^,49.84,6.74,504128.0
NE ^18.08.2021^,49.67,8.67,176496.0
GR ^18.08.2021^,49.1,5.68,199021.0
VD ^18.08.2021^,48.62,9.78,805098.0
LU ^18.08.2021^,47.82,4.73,413120.0
FR ^18.08.2021^,47.33,7.95,321783.0
JU ^18.08.2021^,46.9,5.81,73584.0
VS ^18.08.2021^,46.82,8.4,345525.0
TG ^18.08.2021^,45.63,4.23,279547.0
NW ^18.08.2021^,45.44,4.63,43087.0
UR ^18.08.2021^,45.36,4.55,36703.0
SZ ^18.08.2021^,45.01,3.68,160480.0
SG ^18.08.2021^,44.11,5.79,510734.0
AR ^18.08.2021^,44.07,4.54,55445.0
GL ^18.08.2021^,43.69,5.19,40590.0
OW ^18.08.2021^,40.96,4.31,37930.0
AI ^18.08.2021^,40.28,3.46,16128.0
all ^18.08.2021^,,,
neighboring_chfl ^18.08.2021^,,,
unknown ^18.08.2021^,,,
