date,verabreichte Dosen
2021-01-31,111374.0
2021-02-07,99908.0
2021-02-14,133598.0
2021-02-21,130323.0
2021-02-28,137783.0
2021-03-07,151291.0
2021-03-14,151466.0
2021-03-21,150764.0
2021-03-28,181436.0
2021-04-04,174142.0
2021-04-11,209764.0
2021-04-18,293953.0
2021-04-25,365078.0
2021-05-02,386926.0
2021-05-09,450433.0
2021-05-16,467092.0
2021-05-23,568050.0
2021-05-30,554354.0
2021-06-06,632936.0
2021-06-13,641365.0
2021-06-20,600872.0
2021-06-27,517560.0
2021-07-04,447307.0
2021-07-11,412031.0
2021-07-18,363796.0
2021-07-25,293970.0
2021-08-01,187029.0
2021-08-08,136550.0
2021-08-15,133353.0
2021-08-22,142987.0
2021-08-29,159350.0
2021-09-05,155452.0
2021-09-12,191661.0
2021-09-19,219431.0
2021-09-26,193348.0
2021-10-03,163871.0
2021-10-10,162744.0
2021-10-17,167701.0
