Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^20.10.2021^,66.03,2.89,196735.0
TI ^20.10.2021^,65.88,2.61,350986.0
ZH ^20.10.2021^,65.03,2.18,1553423.0
BL ^20.10.2021^,64.28,3.2,290969.0
ZG ^20.10.2021^,64.07,1.67,128794.0
VD ^20.10.2021^,64.02,3.03,814762.0
FR ^20.10.2021^,63.27,2.65,325496.0
SH ^20.10.2021^,63.18,2.33,83107.0
GR ^20.10.2021^,63.07,3.88,200096.0
BE ^20.10.2021^,63.0,3.2,1043132.0
SO ^20.10.2021^,62.79,2.93,277462.0
GE ^20.10.2021^,62.55,4.02,506343.0
CH ^20.10.2021^,62.26,3.19,8670300.0
AG ^20.10.2021^,61.62,2.51,694072.0
NW ^20.10.2021^,61.27,2.76,43520.0
LU ^20.10.2021^,60.78,3.47,416347.0
UR ^20.10.2021^,59.69,2.61,36819.0
VS ^20.10.2021^,59.6,6.27,348503.0
NE ^20.10.2021^,59.38,10.36,175894.0
JU ^20.10.2021^,57.42,5.83,73709.0
GL ^20.10.2021^,56.43,3.39,40851.0
SG ^20.10.2021^,56.28,2.9,514504.0
TG ^20.10.2021^,56.07,3.04,282909.0
AR ^20.10.2021^,55.65,2.68,55309.0
SZ ^20.10.2021^,54.64,2.46,162157.0
OW ^20.10.2021^,52.59,5.98,38108.0
AI ^20.10.2021^,51.95,1.72,16293.0
all ^20.10.2021^,,,
neighboring_chfl ^20.10.2021^,,,
unknown ^20.10.2021^,,,
