Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^14.02.2022^,72.57,1.63,196735.0
TI ^14.02.2022^,71.99,1.33,350986.0
BL ^14.02.2022^,71.1,1.54,290969.0
NE ^14.02.2022^,71.0,2.86,175894.0
ZH ^14.02.2022^,70.57,1.02,1553423.0
BE ^14.02.2022^,70.0,1.09,1043132.0
VD ^14.02.2022^,69.9,0.92,814762.0
GR ^14.02.2022^,69.49,1.71,200096.0
SO ^14.02.2022^,69.46,1.32,277462.0
FR ^14.02.2022^,69.05,0.99,325496.0
GE ^14.02.2022^,69.01,1.89,506343.0
ZG ^14.02.2022^,68.83,1.22,128794.0
CH ^14.02.2022^,68.67,1.38,8670300.0
SH ^14.02.2022^,68.65,1.31,83107.0
AG ^14.02.2022^,68.38,1.07,694072.0
LU ^14.02.2022^,67.43,1.66,416347.0
NW ^14.02.2022^,67.34,1.33,43520.0
OW ^14.02.2022^,66.22,4.61,38108.0
VS ^14.02.2022^,66.19,4.3,348503.0
UR ^14.02.2022^,65.08,0.77,36819.0
JU ^14.02.2022^,63.84,3.11,73709.0
SG ^14.02.2022^,63.14,0.62,514504.0
GL ^14.02.2022^,63.12,0.95,40851.0
TG ^14.02.2022^,62.22,1.72,282909.0
AR ^14.02.2022^,61.56,0.89,55309.0
SZ ^14.02.2022^,60.04,1.14,162157.0
AI ^14.02.2022^,57.01,0.44,16293.0
all ^14.02.2022^,,,
neighboring_chfl ^14.02.2022^,,,
unknown ^14.02.2022^,,,
