date,verabreichte Dosen
2021-01-31,111237.0
2021-02-07,99682.0
2021-02-14,133436.0
2021-02-21,130134.0
2021-02-28,137630.0
2021-03-07,151168.0
2021-03-14,151285.0
2021-03-21,150539.0
2021-03-28,181164.0
2021-04-04,173748.0
2021-04-11,209546.0
2021-04-18,293662.0
2021-04-25,364654.0
2021-05-02,386437.0
2021-05-09,449929.0
2021-05-16,467297.0
2021-05-23,567501.0
2021-05-30,553582.0
2021-06-06,631662.0
2021-06-13,640623.0
2021-06-20,600495.0
2021-06-27,516143.0
2021-07-04,446368.0
2021-07-11,411026.0
2021-07-18,363144.0
2021-07-25,293287.0
2021-08-01,186465.0
2021-08-08,135410.0
2021-08-15,131945.0
2021-08-22,140403.0
2021-08-29,102903.0
