Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^24.11.2021^,69.11,1.53,196735.0
TI ^24.11.2021^,68.89,1.35,350986.0
ZH ^24.11.2021^,67.84,1.06,1553423.0
BL ^24.11.2021^,67.54,1.72,290969.0
VD ^24.11.2021^,67.4,1.29,814762.0
BE ^24.11.2021^,66.64,1.41,1043132.0
FR ^24.11.2021^,66.4,1.3,325496.0
GR ^24.11.2021^,66.39,2.11,200096.0
ZG ^24.11.2021^,66.14,1.23,128794.0
GE ^24.11.2021^,66.13,2.44,506343.0
SO ^24.11.2021^,66.03,1.53,277462.0
SH ^24.11.2021^,65.82,1.48,83107.0
CH ^24.11.2021^,65.48,1.74,8670300.0
AG ^24.11.2021^,64.65,1.47,694072.0
NW ^24.11.2021^,64.25,1.67,43520.0
LU ^24.11.2021^,64.23,1.81,416347.0
NE ^24.11.2021^,63.46,8.21,175894.0
UR ^24.11.2021^,62.79,1.19,36819.0
VS ^24.11.2021^,62.74,4.52,348503.0
JU ^24.11.2021^,60.52,4.52,73709.0
GL ^24.11.2021^,60.15,1.37,40851.0
SG ^24.11.2021^,59.79,1.25,514504.0
TG ^24.11.2021^,59.1,1.84,282909.0
AR ^24.11.2021^,58.65,1.29,55309.0
OW ^24.11.2021^,57.68,3.3,38108.0
SZ ^24.11.2021^,57.3,1.39,162157.0
AI ^24.11.2021^,54.11,0.95,16293.0
all ^24.11.2021^,,,
neighboring_chfl ^24.11.2021^,,,
unknown ^24.11.2021^,,,
