date,verabreichte Dosen
2021-01-31,111363.0
2021-02-07,99901.0
2021-02-14,133577.0
2021-02-21,130300.0
2021-02-28,137748.0
2021-03-07,151279.0
2021-03-14,151460.0
2021-03-21,150741.0
2021-03-28,181411.0
2021-04-04,174113.0
2021-04-11,209742.0
2021-04-18,293930.0
2021-04-25,365057.0
2021-05-02,386901.0
2021-05-09,450312.0
2021-05-16,467080.0
2021-05-23,568010.0
2021-05-30,554321.0
2021-06-06,632907.0
2021-06-13,641227.0
2021-06-20,600837.0
2021-06-27,517538.0
2021-07-04,447260.0
2021-07-11,412007.0
2021-07-18,363779.0
2021-07-25,293974.0
2021-08-01,187024.0
2021-08-08,136528.0
2021-08-15,133339.0
2021-08-22,142954.0
2021-08-29,159244.0
2021-09-05,155355.0
2021-09-12,191454.0
2021-09-19,218800.0
2021-09-26,193005.0
2021-10-03,162974.0
2021-10-10,161648.0
