Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BL ^30.05.2021^,25.86,12.19,289468
SH ^30.05.2021^,25.67,11.53,82348
TI ^30.05.2021^,24.71,14.61,351491
GE ^30.05.2021^,23.76,15.71,504128
OW ^30.05.2021^,23.31,7.08,37930
NE ^30.05.2021^,23.12,9.51,176496
GR ^30.05.2021^,22.96,12.01,199021
UR ^30.05.2021^,22.01,14.63,36703
BE ^30.05.2021^,21.9,16.44,1039474
BS ^30.05.2021^,21.73,18.2,195844
AI ^30.05.2021^,21.24,11.58,16128
AG ^30.05.2021^,21.05,12.66,685845
ZG ^30.05.2021^,20.99,14.52,127642
SO ^30.05.2021^,20.8,13.59,275247
VS ^30.05.2021^,20.44,12.73,345525
CH ^30.05.2021^,20.24,15.33,8606033
NW ^30.05.2021^,20.21,15.07,43087
AR ^30.05.2021^,19.5,14.76,55445
LU ^30.05.2021^,19.39,15.65,413120
JU ^30.05.2021^,19.21,17.41,73584
GL ^30.05.2021^,19.08,15.86,40590
TG ^30.05.2021^,18.67,16.1,279547
VD ^30.05.2021^,18.45,18.53,805098
SG ^30.05.2021^,18.19,15.53,510734
SZ ^30.05.2021^,17.75,15.72,160480
ZH ^30.05.2021^,17.27,16.7,1539275
FR ^30.05.2021^,16.63,14.22,321783
