Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^28.03.2022^,73.29,1.09,196735.0
TI ^28.03.2022^,72.3,1.13,350986.0
BL ^28.03.2022^,71.57,1.17,290969.0
NE ^28.03.2022^,71.28,2.66,175894.0
ZH ^28.03.2022^,71.03,0.69,1553423.0
BE ^28.03.2022^,70.43,0.78,1043132.0
VD ^28.03.2022^,70.28,0.76,814762.0
SO ^28.03.2022^,69.96,0.93,277462.0
GR ^28.03.2022^,69.73,1.54,200096.0
GE ^28.03.2022^,69.41,1.61,506343.0
ZG ^28.03.2022^,69.41,0.75,128794.0
FR ^28.03.2022^,69.3,0.86,325496.0
CH ^28.03.2022^,69.13,1.02,8670300.0
SH ^28.03.2022^,69.06,0.99,83107.0
AG ^28.03.2022^,68.8,0.74,694072.0
VS ^28.03.2022^,68.19,1.81,348503.0
LU ^28.03.2022^,67.73,1.45,416347.0
NW ^28.03.2022^,67.57,1.15,43520.0
OW ^28.03.2022^,66.27,4.59,38108.0
UR ^28.03.2022^,65.22,0.69,36819.0
JU ^28.03.2022^,64.28,2.79,73709.0
GL ^28.03.2022^,63.45,0.7,40851.0
SG ^28.03.2022^,63.44,0.41,514504.0
TG ^28.03.2022^,62.53,1.5,282909.0
AR ^28.03.2022^,61.74,0.79,55309.0
SZ ^28.03.2022^,60.35,0.91,162157.0
AI ^28.03.2022^,57.15,0.33,16293.0
all ^28.03.2022^,,,
neighboring_chfl ^28.03.2022^,,,
unknown ^28.03.2022^,,,
