Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^10.01.2022^,71.11,1.64,196735.0
TI ^10.01.2022^,70.93,1.57,350986.0
NE ^10.01.2022^,70.2,2.99,175894.0
ZH ^10.01.2022^,69.74,1.33,1553423.0
BL ^10.01.2022^,69.62,1.95,290969.0
VD ^10.01.2022^,69.14,1.13,814762.0
BE ^10.01.2022^,68.69,1.44,1043132.0
GR ^10.01.2022^,68.52,2.02,200096.0
FR ^10.01.2022^,68.41,1.12,325496.0
SO ^10.01.2022^,68.23,1.51,277462.0
GE ^10.01.2022^,68.14,1.95,506343.0
ZG ^10.01.2022^,68.04,1.05,128794.0
SH ^10.01.2022^,67.63,1.64,83107.0
CH ^10.01.2022^,67.62,1.64,8670300.0
AG ^10.01.2022^,67.14,1.43,694072.0
NW ^10.01.2022^,66.53,1.43,43520.0
LU ^10.01.2022^,66.25,1.88,416347.0
OW ^10.01.2022^,66.05,4.12,38108.0
VS ^10.01.2022^,64.54,4.38,348503.0
UR ^10.01.2022^,64.22,1.14,36819.0
JU ^10.01.2022^,62.97,3.52,73709.0
GL ^10.01.2022^,62.1,1.39,40851.0
SG ^10.01.2022^,62.04,1.0,514504.0
TG ^10.01.2022^,61.08,2.08,282909.0
AR ^10.01.2022^,60.51,1.42,55309.0
SZ ^10.01.2022^,59.07,1.42,162157.0
AI ^10.01.2022^,56.02,0.86,16293.0
all ^10.01.2022^,,,
neighboring_chfl ^10.01.2022^,,,
unknown ^10.01.2022^,,,
