Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
TI ^01.08.2021^,52.95,3.65,351491.0
ZH ^01.08.2021^,52.27,5.69,1539275.0
BL ^01.08.2021^,52.18,4.94,289468.0
BS ^01.08.2021^,51.41,6.09,195844.0
SH ^01.08.2021^,50.59,5.15,82348.0
ZG ^01.08.2021^,50.38,5.42,127642.0
BE ^01.08.2021^,49.78,5.63,1039474.0
SO ^01.08.2021^,49.41,4.21,275247.0
CH ^01.08.2021^,48.2,6.08,8606033.0
AG ^01.08.2021^,48.15,3.82,685845.0
GE ^01.08.2021^,48.02,6.44,504128.0
GR ^01.08.2021^,47.18,5.95,199021.0
NE ^01.08.2021^,46.96,8.89,176496.0
VD ^01.08.2021^,45.84,10.71,805098.0
FR ^01.08.2021^,45.4,8.16,321783.0
LU ^01.08.2021^,45.25,5.42,413120.0
VS ^01.08.2021^,44.69,8.47,345525.0
JU ^01.08.2021^,44.68,5.62,73584.0
UR ^01.08.2021^,44.39,3.86,36703.0
TG ^01.08.2021^,44.32,4.26,279547.0
SZ ^01.08.2021^,43.54,3.68,160480.0
SG ^01.08.2021^,42.65,6.11,510734.0
NW ^01.08.2021^,42.17,6.75,43087.0
AR ^01.08.2021^,41.74,5.49,55445.0
GL ^01.08.2021^,41.09,5.66,40590.0
OW ^01.08.2021^,40.65,4.23,37930.0
AI ^01.08.2021^,39.17,3.45,16128.0
all ^01.08.2021^,,,
neighboring_chfl ^01.08.2021^,,,
unknown ^01.08.2021^,,,
