date,geboostert,vollst. geimpft,nicht vollst. geimpft
2021-07-04,,0.2,0.0
2021-07-11,,0.0,1.8
2021-07-18,,0.4,3.8
2021-07-25,,0.8,4.9
2021-08-01,,0.7,9.0
2021-08-08,,0.9,10.2
2021-08-15,,1.6,22.3
2021-08-22,,2.4,27.9
2021-08-29,,2.4,33.0
2021-09-05,,2.5,31.0
2021-09-12,,2.6,22.9
2021-09-19,,2.5,24.4
2021-09-26,,2.0,25.8
2021-10-03,,1.9,16.7
2021-10-10,,2.5,17.8
2021-10-17,,2.5,16.8
2021-10-24,,3.4,16.9
2021-10-31,,3.8,27.2
2021-11-07,,5.2,31.8
2021-11-14,,6.9,42.7
2021-11-21,,10.4,72.1
2021-11-28,,12.8,88.2
2021-12-05,7.9,16.9,103.1
2021-12-12,7.0,20.0,103.7
2021-12-19,5.7,15.2,117.7
2021-12-26,7.2,19.0,104.5
2022-01-02,7.9,17.9,100.5
2022-01-09,7.3,24.5,98.2
2022-01-16,6.9,23.7,81.9
2022-01-23,7.1,28.2,76.9
2022-01-30,9.1,28.4,83.8
2022-02-06,8.0,28.0,77.5
2022-02-13,5.2,14.3,56.6
