Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^12.10.2021^,64.46,4.09,195844.0
TI ^12.10.2021^,64.04,3.85,351491.0
ZH ^12.10.2021^,63.99,3.34,1539275.0
ZG ^12.10.2021^,63.54,2.37,127642.0
VD ^12.10.2021^,63.09,4.13,805098.0
BL ^12.10.2021^,63.06,4.27,289468.0
FR ^12.10.2021^,61.94,4.07,321783.0
SH ^12.10.2021^,61.58,3.95,82348.0
BE ^12.10.2021^,61.47,4.16,1039474.0
GR ^12.10.2021^,61.45,5.37,199021.0
SO ^12.10.2021^,61.33,4.31,275247.0
CH ^12.10.2021^,60.96,4.36,8606033.0
GE ^12.10.2021^,60.87,5.31,504128.0
AG ^12.10.2021^,60.75,3.57,685845.0
NW ^12.10.2021^,59.45,4.71,43087.0
LU ^12.10.2021^,59.17,4.93,413120.0
VS ^12.10.2021^,58.41,7.26,345525.0
UR ^12.10.2021^,57.69,4.15,36703.0
NE ^12.10.2021^,57.31,11.41,176496.0
JU ^12.10.2021^,55.67,7.08,73584.0
SG ^12.10.2021^,55.22,3.86,510734.0
TG ^12.10.2021^,54.76,4.52,279547.0
GL ^12.10.2021^,54.05,5.37,40590.0
AR ^12.10.2021^,53.69,3.86,55445.0
SZ ^12.10.2021^,53.44,3.63,160480.0
AI ^12.10.2021^,50.62,3.14,16128.0
OW ^12.10.2021^,50.09,8.01,37930.0
all ^12.10.2021^,,,
neighboring_chfl ^12.10.2021^,,,
unknown ^12.10.2021^,,,
