Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
ZH ^24.08.2021^,55.05,4.77,1539275.0
BL ^24.08.2021^,55.02,4.54,289468.0
BS ^24.08.2021^,54.98,4.88,195844.0
TI ^24.08.2021^,54.66,4.66,351491.0
ZG ^24.08.2021^,53.13,5.53,127642.0
BE ^24.08.2021^,53.11,5.14,1039474.0
SH ^24.08.2021^,52.94,5.17,82348.0
SO ^24.08.2021^,52.11,4.16,275247.0
AG ^24.08.2021^,51.09,3.67,685845.0
CH ^24.08.2021^,51.02,5.71,8606033.0
GE ^24.08.2021^,50.66,6.43,504128.0
NE ^24.08.2021^,50.29,8.92,176496.0
GR ^24.08.2021^,49.82,5.85,199021.0
VD ^24.08.2021^,49.48,9.56,805098.0
LU ^24.08.2021^,48.43,5.19,413120.0
FR ^24.08.2021^,48.05,8.01,321783.0
VS ^24.08.2021^,47.67,8.36,345525.0
JU ^24.08.2021^,47.57,6.0,73584.0
TG ^24.08.2021^,46.07,4.46,279547.0
NW ^24.08.2021^,45.66,5.01,43087.0
UR ^24.08.2021^,45.65,4.7,36703.0
SZ ^24.08.2021^,45.58,3.76,160480.0
SG ^24.08.2021^,44.54,6.03,510734.0
AR ^24.08.2021^,44.44,4.99,55445.0
GL ^24.08.2021^,44.04,5.25,40590.0
OW ^24.08.2021^,42.49,4.38,37930.0
AI ^24.08.2021^,40.33,3.72,16128.0
all ^24.08.2021^,,,
neighboring_chfl ^24.08.2021^,,,
unknown ^24.08.2021^,,,
