Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^09.03.2022^,73.2,1.14,196735.0
TI ^09.03.2022^,72.24,1.16,350986.0
BL ^09.03.2022^,71.51,1.2,290969.0
NE ^09.03.2022^,71.24,2.68,175894.0
ZH ^09.03.2022^,71.05,0.63,1553423.0
BE ^09.03.2022^,70.43,0.75,1043132.0
VD ^09.03.2022^,70.21,0.8,814762.0
SO ^09.03.2022^,69.92,0.93,277462.0
GR ^09.03.2022^,69.7,1.56,200096.0
ZG ^09.03.2022^,69.36,0.77,128794.0
GE ^09.03.2022^,69.35,1.64,506343.0
FR ^09.03.2022^,69.29,0.84,325496.0
CH ^09.03.2022^,69.09,1.02,8670300.0
SH ^09.03.2022^,69.01,1.02,83107.0
AG ^09.03.2022^,68.76,0.76,694072.0
VS ^09.03.2022^,68.09,1.82,348503.0
LU ^09.03.2022^,67.69,1.46,416347.0
NW ^09.03.2022^,67.56,1.13,43520.0
OW ^09.03.2022^,66.28,4.58,38108.0
UR ^09.03.2022^,65.18,0.71,36819.0
JU ^09.03.2022^,63.98,3.08,73709.0
SG ^09.03.2022^,63.39,0.43,514504.0
GL ^09.03.2022^,63.38,0.74,40851.0
TG ^09.03.2022^,62.48,1.52,282909.0
AR ^09.03.2022^,61.73,0.79,55309.0
SZ ^09.03.2022^,60.32,0.91,162157.0
AI ^09.03.2022^,57.13,0.31,16293.0
all ^09.03.2022^,,,
neighboring_chfl ^09.03.2022^,,,
unknown ^09.03.2022^,,,
