Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^08.12.2021^,69.7,1.72,196735.0
TI ^08.12.2021^,69.45,1.79,350986.0
NE ^08.12.2021^,69.15,3.14,175894.0
ZH ^08.12.2021^,68.5,1.37,1553423.0
BL ^08.12.2021^,68.13,1.77,290969.0
VD ^08.12.2021^,68.02,1.17,814762.0
BE ^08.12.2021^,67.33,1.34,1043132.0
FR ^08.12.2021^,67.08,1.44,325496.0
GR ^08.12.2021^,66.95,2.23,200096.0
GE ^08.12.2021^,66.91,2.24,506343.0
ZG ^08.12.2021^,66.74,1.24,128794.0
SO ^08.12.2021^,66.74,1.6,277462.0
SH ^08.12.2021^,66.42,1.53,83107.0
CH ^08.12.2021^,66.24,1.73,8670300.0
AG ^08.12.2021^,65.41,1.61,694072.0
LU ^08.12.2021^,64.87,2.03,416347.0
NW ^08.12.2021^,64.82,1.62,43520.0
VS ^08.12.2021^,63.38,4.5,348503.0
UR ^08.12.2021^,63.1,1.21,36819.0
JU ^08.12.2021^,61.89,3.48,73709.0
GL ^08.12.2021^,60.71,1.51,40851.0
SG ^08.12.2021^,60.48,1.41,514504.0
TG ^08.12.2021^,59.79,2.07,282909.0
AR ^08.12.2021^,59.23,1.38,55309.0
SZ ^08.12.2021^,57.87,1.42,162157.0
OW ^08.12.2021^,57.78,3.45,38108.0
AI ^08.12.2021^,54.79,0.87,16293.0
all ^08.12.2021^,,,
neighboring_chfl ^08.12.2021^,,,
unknown ^08.12.2021^,,,
