Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^22.03.2022^,73.26,1.1,196735.0
TI ^22.03.2022^,72.28,1.14,350986.0
BL ^22.03.2022^,71.55,1.18,290969.0
NE ^22.03.2022^,71.27,2.66,175894.0
ZH ^22.03.2022^,71.11,0.59,1553423.0
BE ^22.03.2022^,70.48,0.72,1043132.0
VD ^22.03.2022^,70.26,0.77,814762.0
SO ^22.03.2022^,69.96,0.92,277462.0
GR ^22.03.2022^,69.73,1.55,200096.0
GE ^22.03.2022^,69.39,1.62,506343.0
ZG ^22.03.2022^,69.39,0.75,128794.0
FR ^22.03.2022^,69.33,0.82,325496.0
CH ^22.03.2022^,69.14,0.99,8670300.0
SH ^22.03.2022^,69.06,0.99,83107.0
AG ^22.03.2022^,68.8,0.73,694072.0
VS ^22.03.2022^,68.11,1.81,348503.0
LU ^22.03.2022^,67.72,1.44,416347.0
NW ^22.03.2022^,67.59,1.13,43520.0
OW ^22.03.2022^,66.28,4.58,38108.0
UR ^22.03.2022^,65.22,0.68,36819.0
JU ^22.03.2022^,64.28,2.78,73709.0
GL ^22.03.2022^,63.44,0.69,40851.0
SG ^22.03.2022^,63.44,0.4,514504.0
TG ^22.03.2022^,62.52,1.5,282909.0
AR ^22.03.2022^,61.73,0.79,55309.0
SZ ^22.03.2022^,60.35,0.9,162157.0
AI ^22.03.2022^,57.15,0.31,16293.0
all ^22.03.2022^,,,
neighboring_chfl ^22.03.2022^,,,
unknown ^22.03.2022^,,,
