Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BL ^28.07.2021^,51.78,5.18,289468.0
ZH ^28.07.2021^,51.72,6.0,1539275.0
TI ^28.07.2021^,51.71,4.43,351491.0
SH ^28.07.2021^,50.31,5.25,82348.0
BS ^28.07.2021^,50.01,7.2,195844.0
ZG ^28.07.2021^,49.53,5.93,127642.0
BE ^28.07.2021^,49.29,5.84,1039474.0
SO ^28.07.2021^,49.2,4.31,275247.0
AG ^28.07.2021^,47.66,3.99,685845.0
CH ^28.07.2021^,47.66,6.29,8606033.0
GE ^28.07.2021^,47.62,6.23,504128.0
GR ^28.07.2021^,46.58,6.01,199021.0
NE ^28.07.2021^,46.28,9.24,176496.0
VD ^28.07.2021^,45.29,10.86,805098.0
FR ^28.07.2021^,44.75,8.2,321783.0
LU ^28.07.2021^,44.65,5.61,413120.0
JU ^28.07.2021^,44.42,5.62,73584.0
VS ^28.07.2021^,44.41,8.36,345525.0
UR ^28.07.2021^,44.37,3.79,36703.0
TG ^28.07.2021^,44.05,4.22,279547.0
SZ ^28.07.2021^,43.35,3.66,160480.0
SG ^28.07.2021^,42.27,6.29,510734.0
AR ^28.07.2021^,41.38,5.78,55445.0
GL ^28.07.2021^,41.06,5.67,40590.0
NW ^28.07.2021^,41.05,7.55,43087.0
AI ^28.07.2021^,39.07,3.53,16128.0
OW ^28.07.2021^,37.79,6.38,37930.0
all ^28.07.2021^,,,
neighboring_chfl ^28.07.2021^,,,
unknown ^28.07.2021^,,,
