Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
ZH ^25.07.2021^,50.66,6.63,1539275.0
BL ^25.07.2021^,50.56,5.94,289468.0
TI ^25.07.2021^,50.51,5.42,351491.0
BS ^25.07.2021^,49.65,7.18,195844.0
SH ^25.07.2021^,49.47,5.72,82348.0
SO ^25.07.2021^,48.94,4.42,275247.0
BE ^25.07.2021^,48.38,6.27,1039474.0
ZG ^25.07.2021^,48.05,6.95,127642.0
GE ^25.07.2021^,46.92,6.4,504128.0
CH ^25.07.2021^,46.77,6.7,8606033.0
AG ^25.07.2021^,46.72,4.54,685845.0
NE ^25.07.2021^,45.37,9.54,176496.0
GR ^25.07.2021^,44.87,7.21,199021.0
VD ^25.07.2021^,44.33,11.22,805098.0
VS ^25.07.2021^,44.04,8.21,345525.0
UR ^25.07.2021^,44.0,3.63,36703.0
JU ^25.07.2021^,43.93,5.48,73584.0
FR ^25.07.2021^,43.89,8.61,321783.0
LU ^25.07.2021^,43.86,5.77,413120.0
TG ^25.07.2021^,43.69,4.3,279547.0
SZ ^25.07.2021^,42.94,3.67,160480.0
SG ^25.07.2021^,41.86,6.51,510734.0
GL ^25.07.2021^,41.01,5.65,40590.0
AR ^25.07.2021^,40.67,6.12,55445.0
NW ^25.07.2021^,39.38,8.31,43087.0
AI ^25.07.2021^,38.76,3.28,16128.0
OW ^25.07.2021^,28.36,5.94,37930.0
all ^25.07.2021^,,,
neighboring_chfl ^25.07.2021^,,,
unknown ^25.07.2021^,,,
