Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^04.07.2022^,73.48,1.03,196735.0
TI ^04.07.2022^,72.4,1.11,350986.0
BL ^04.07.2022^,71.69,1.15,290969.0
NE ^04.07.2022^,71.39,2.64,175894.0
ZH ^04.07.2022^,71.2,0.65,1553423.0
BE ^04.07.2022^,70.58,0.75,1043132.0
VD ^04.07.2022^,70.42,0.76,814762.0
SO ^04.07.2022^,70.06,0.91,277462.0
GR ^04.07.2022^,69.86,1.51,200096.0
ZG ^04.07.2022^,69.6,0.73,128794.0
GE ^04.07.2022^,69.58,1.6,506343.0
FR ^04.07.2022^,69.44,0.84,325496.0
CH ^04.07.2022^,69.24,0.98,8670300.0
SH ^04.07.2022^,69.16,0.99,83107.0
AG ^04.07.2022^,68.93,0.71,694072.0
VS ^04.07.2022^,68.28,1.75,348503.0
LU ^04.07.2022^,67.84,1.41,416347.0
NW ^04.07.2022^,67.53,1.02,43520.0
UR ^04.07.2022^,65.36,0.69,36819.0
JU ^04.07.2022^,64.4,2.76,73709.0
SG ^04.07.2022^,63.58,0.37,514504.0
GL ^04.07.2022^,63.56,0.67,40851.0
TG ^04.07.2022^,62.64,1.48,282909.0
AR ^04.07.2022^,61.84,0.77,55309.0
OW ^04.07.2022^,61.54,2.15,38108.0
SZ ^04.07.2022^,60.48,0.88,162157.0
AI ^04.07.2022^,57.22,0.32,16293.0
all ^04.07.2022^,,,
neighboring_chfl ^04.07.2022^,,,
unknown ^04.07.2022^,,,
