Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^18.07.2022^,73.51,1.03,196735.0
TI ^18.07.2022^,72.41,1.11,350986.0
BL ^18.07.2022^,71.71,1.14,290969.0
NE ^18.07.2022^,71.43,2.63,175894.0
ZH ^18.07.2022^,71.24,0.65,1553423.0
BE ^18.07.2022^,70.6,0.75,1043132.0
VD ^18.07.2022^,70.44,0.76,814762.0
SO ^18.07.2022^,70.07,0.9,277462.0
GR ^18.07.2022^,69.87,1.5,200096.0
ZG ^18.07.2022^,69.63,0.73,128794.0
GE ^18.07.2022^,69.61,1.6,506343.0
FR ^18.07.2022^,69.47,0.83,325496.0
CH ^18.07.2022^,69.26,0.98,8670300.0
SH ^18.07.2022^,69.17,0.98,83107.0
AG ^18.07.2022^,68.94,0.71,694072.0
VS ^18.07.2022^,68.3,1.74,348503.0
LU ^18.07.2022^,67.85,1.41,416347.0
NW ^18.07.2022^,67.54,1.02,43520.0
UR ^18.07.2022^,65.38,0.68,36819.0
JU ^18.07.2022^,64.42,2.76,73709.0
SG ^18.07.2022^,63.59,0.37,514504.0
GL ^18.07.2022^,63.57,0.67,40851.0
TG ^18.07.2022^,62.65,1.47,282909.0
AR ^18.07.2022^,61.85,0.77,55309.0
OW ^18.07.2022^,61.56,2.14,38108.0
SZ ^18.07.2022^,60.5,0.87,162157.0
AI ^18.07.2022^,57.24,0.3,16293.0
all ^18.07.2022^,,,
neighboring_chfl ^18.07.2022^,,,
unknown ^18.07.2022^,,,
