date,verabreichte Dosen
2021-01-31,111355.0
2021-02-07,99860.0
2021-02-14,133569.0
2021-02-21,130283.0
2021-02-28,137722.0
2021-03-07,151270.0
2021-03-14,151447.0
2021-03-21,150720.0
2021-03-28,181387.0
2021-04-04,174091.0
2021-04-11,209761.0
2021-04-18,293941.0
2021-04-25,365071.0
2021-05-02,386898.0
2021-05-09,450297.0
2021-05-16,467106.0
2021-05-23,568019.0
2021-05-30,554338.0
2021-06-06,632904.0
2021-06-13,641211.0
2021-06-20,600823.0
2021-06-27,517530.0
2021-07-04,447248.0
2021-07-11,411999.0
2021-07-18,363771.0
2021-07-25,293965.0
2021-08-01,187017.0
2021-08-08,136518.0
2021-08-15,133324.0
2021-08-22,142924.0
2021-08-29,159187.0
2021-09-05,155254.0
2021-09-12,191151.0
2021-09-19,218585.0
2021-09-26,192970.0
2021-10-03,162880.0
