Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^03.01.2022^,70.76,1.64,196735.0
TI ^03.01.2022^,70.55,1.77,350986.0
NE ^03.01.2022^,69.99,3.0,175894.0
ZH ^03.01.2022^,69.38,1.31,1553423.0
BL ^03.01.2022^,69.22,1.77,290969.0
VD ^03.01.2022^,68.91,1.1,814762.0
BE ^03.01.2022^,68.34,1.41,1043132.0
GR ^03.01.2022^,68.15,2.16,200096.0
FR ^03.01.2022^,68.08,1.24,325496.0
GE ^03.01.2022^,67.89,1.99,506343.0
SO ^03.01.2022^,67.82,1.59,277462.0
ZG ^03.01.2022^,67.73,1.05,128794.0
SH ^03.01.2022^,67.3,1.64,83107.0
CH ^03.01.2022^,67.28,1.66,8670300.0
AG ^03.01.2022^,66.69,1.42,694072.0
NW ^03.01.2022^,66.17,1.65,43520.0
OW ^03.01.2022^,65.95,4.15,38108.0
LU ^03.01.2022^,65.85,1.96,416347.0
VS ^03.01.2022^,64.22,4.44,348503.0
UR ^03.01.2022^,64.02,1.17,36819.0
JU ^03.01.2022^,62.93,3.38,73709.0
SG ^03.01.2022^,61.66,1.18,514504.0
GL ^03.01.2022^,61.56,1.71,40851.0
TG ^03.01.2022^,60.77,2.03,282909.0
AR ^03.01.2022^,60.13,1.46,55309.0
SZ ^03.01.2022^,58.81,1.44,162157.0
AI ^03.01.2022^,55.66,0.91,16293.0
all ^03.01.2022^,,,
neighboring_chfl ^03.01.2022^,,,
unknown ^03.01.2022^,,,
