Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^23.11.2021^,68.98,1.57,196735.0
TI ^23.11.2021^,68.85,1.34,350986.0
ZH ^23.11.2021^,67.77,1.08,1553423.0
BL ^23.11.2021^,67.46,1.73,290969.0
VD ^23.11.2021^,67.34,1.31,814762.0
BE ^23.11.2021^,66.57,1.41,1043132.0
FR ^23.11.2021^,66.34,1.32,325496.0
GR ^23.11.2021^,66.34,2.1,200096.0
ZG ^23.11.2021^,66.1,1.21,128794.0
GE ^23.11.2021^,66.07,2.45,506343.0
SO ^23.11.2021^,65.92,1.53,277462.0
SH ^23.11.2021^,65.65,1.51,83107.0
CH ^23.11.2021^,65.41,1.76,8670300.0
AG ^23.11.2021^,64.59,1.47,694072.0
NW ^23.11.2021^,64.21,1.68,43520.0
LU ^23.11.2021^,64.17,1.83,416347.0
NE ^23.11.2021^,63.37,8.25,175894.0
UR ^23.11.2021^,62.7,1.23,36819.0
VS ^23.11.2021^,62.68,4.53,348503.0
JU ^23.11.2021^,60.48,4.5,73709.0
GL ^23.11.2021^,60.03,1.26,40851.0
SG ^23.11.2021^,59.74,1.25,514504.0
TG ^23.11.2021^,59.03,1.86,282909.0
AR ^23.11.2021^,58.63,1.26,55309.0
OW ^23.11.2021^,57.67,3.31,38108.0
SZ ^23.11.2021^,57.25,1.41,162157.0
AI ^23.11.2021^,54.06,0.91,16293.0
all ^23.11.2021^,,,
neighboring_chfl ^23.11.2021^,,,
unknown ^23.11.2021^,,,
