Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^17.10.2021^,65.86,3.16,195844.0
TI ^17.10.2021^,65.24,3.05,351491.0
ZH ^17.10.2021^,65.03,2.61,1539275.0
ZG ^17.10.2021^,64.31,1.91,127642.0
VD ^17.10.2021^,64.18,3.43,805098.0
BL ^17.10.2021^,63.93,3.7,289468.0
FR ^17.10.2021^,63.64,2.87,321783.0
GR ^17.10.2021^,62.93,4.21,199021.0
SH ^17.10.2021^,62.83,3.02,82348.0
SO ^17.10.2021^,62.44,3.57,275247.0
BE ^17.10.2021^,62.39,3.72,1039474.0
CH ^17.10.2021^,62.03,3.66,8606033.0
GE ^17.10.2021^,61.99,4.59,504128.0
AG ^17.10.2021^,61.73,2.95,685845.0
NW ^17.10.2021^,60.63,3.83,43087.0
LU ^17.10.2021^,60.34,4.11,413120.0
VS ^17.10.2021^,59.21,6.86,345525.0
UR ^17.10.2021^,58.86,3.38,36703.0
NE ^17.10.2021^,58.29,10.89,176496.0
JU ^17.10.2021^,56.77,6.29,73584.0
TG ^17.10.2021^,55.97,3.63,279547.0
GL ^17.10.2021^,55.97,3.97,40590.0
SG ^17.10.2021^,55.95,3.38,510734.0
AR ^17.10.2021^,54.95,3.06,55445.0
SZ ^17.10.2021^,54.51,2.91,160480.0
OW ^17.10.2021^,52.38,6.4,37930.0
AI ^17.10.2021^,51.84,2.2,16128.0
all ^17.10.2021^,,,
neighboring_chfl ^17.10.2021^,,,
unknown ^17.10.2021^,,,
