Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^08.08.2022^,73.54,1.02,196735.0
TI ^08.08.2022^,72.42,1.11,350986.0
BL ^08.08.2022^,71.73,1.14,290969.0
NE ^08.08.2022^,71.44,2.63,175894.0
ZH ^08.08.2022^,71.27,0.65,1553423.0
BE ^08.08.2022^,70.63,0.75,1043132.0
VD ^08.08.2022^,70.45,0.76,814762.0
SO ^08.08.2022^,70.09,0.9,277462.0
GR ^08.08.2022^,69.88,1.5,200096.0
GE ^08.08.2022^,69.64,1.6,506343.0
ZG ^08.08.2022^,69.64,0.73,128794.0
FR ^08.08.2022^,69.49,0.83,325496.0
CH ^08.08.2022^,69.29,0.98,8670300.0
SH ^08.08.2022^,69.19,0.98,83107.0
AG ^08.08.2022^,68.96,0.72,694072.0
VS ^08.08.2022^,68.32,1.73,348503.0
LU ^08.08.2022^,67.87,1.41,416347.0
NW ^08.08.2022^,67.56,1.04,43520.0
UR ^08.08.2022^,65.77,0.72,36819.0
JU ^08.08.2022^,64.43,2.76,73709.0
SG ^08.08.2022^,63.6,0.37,514504.0
GL ^08.08.2022^,63.58,0.67,40851.0
TG ^08.08.2022^,62.67,1.48,282909.0
AR ^08.08.2022^,61.86,0.77,55309.0
OW ^08.08.2022^,61.58,2.17,38108.0
SZ ^08.08.2022^,60.52,0.87,162157.0
AI ^08.08.2022^,57.25,0.29,16293.0
all ^08.08.2022^,,,
neighboring_chfl ^08.08.2022^,,,
unknown ^08.08.2022^,,,
