Beschreibung,vollständig geimpft,einfach geimpft,Zielgruppe 1,Zielgruppe 2,Zielgruppe 3,Zielgruppe 4,Zielgruppe 5
Anzahl Personen,,,24.617524339360223,6.258692628650904,11.126564673157164,3.7552155771905427,54.24200278164116
geimpfte Personen,3.3,3.9,,,,,
