date,verabreichte Dosen
2021-01-31,111417.0
2021-02-07,99356.0
2021-02-14,134574.0
2021-02-21,129182.0
2021-02-28,137016.0
2021-03-07,151088.0
2021-03-14,151031.0
2021-03-21,150579.0
2021-03-28,181321.0
2021-04-04,172765.0
2021-04-11,209821.0
2021-04-18,292782.0
2021-04-25,364022.0
2021-05-02,385672.0
2021-05-09,449505.0
2021-05-16,466990.0
2021-05-23,566887.0
2021-05-30,551995.0
2021-06-06,631143.0
2021-06-13,638223.0
2021-06-20,598337.0
2021-06-27,513134.0
2021-07-04,443701.0
2021-07-11,407126.0
