Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^22.08.2022^,73.56,1.01,196735.0
TI ^22.08.2022^,72.43,1.11,350986.0
BL ^22.08.2022^,71.75,1.13,290969.0
NE ^22.08.2022^,71.45,2.63,175894.0
ZH ^22.08.2022^,71.28,0.65,1553423.0
BE ^22.08.2022^,70.66,0.75,1043132.0
VD ^22.08.2022^,70.46,0.76,814762.0
SO ^22.08.2022^,70.1,0.9,277462.0
GR ^22.08.2022^,69.89,1.5,200096.0
GE ^22.08.2022^,69.66,1.6,506343.0
ZG ^22.08.2022^,69.66,0.72,128794.0
FR ^22.08.2022^,69.5,0.83,325496.0
CH ^22.08.2022^,69.3,0.98,8670300.0
SH ^22.08.2022^,69.2,0.98,83107.0
AG ^22.08.2022^,68.98,0.71,694072.0
VS ^22.08.2022^,68.33,1.73,348503.0
LU ^22.08.2022^,67.87,1.41,416347.0
NW ^22.08.2022^,67.57,1.04,43520.0
UR ^22.08.2022^,65.8,0.72,36819.0
JU ^22.08.2022^,64.45,2.76,73709.0
SG ^22.08.2022^,63.61,0.37,514504.0
GL ^22.08.2022^,63.6,0.66,40851.0
TG ^22.08.2022^,62.67,1.47,282909.0
AR ^22.08.2022^,61.86,0.77,55309.0
OW ^22.08.2022^,61.6,2.16,38108.0
SZ ^22.08.2022^,60.54,0.86,162157.0
AI ^22.08.2022^,57.25,0.3,16293.0
all ^22.08.2022^,,,
neighboring_chfl ^22.08.2022^,,,
unknown ^22.08.2022^,,,
