Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^18.04.2022^,73.33,1.06,196735.0
TI ^18.04.2022^,72.32,1.12,350986.0
BL ^18.04.2022^,71.6,1.16,290969.0
NE ^18.04.2022^,71.29,2.66,175894.0
ZH ^18.04.2022^,71.08,0.67,1553423.0
BE ^18.04.2022^,70.47,0.76,1043132.0
VD ^18.04.2022^,70.32,0.76,814762.0
SO ^18.04.2022^,69.98,0.92,277462.0
GR ^18.04.2022^,69.77,1.53,200096.0
GE ^18.04.2022^,69.45,1.6,506343.0
ZG ^18.04.2022^,69.44,0.74,128794.0
FR ^18.04.2022^,69.32,0.85,325496.0
CH ^18.04.2022^,69.13,0.99,8670300.0
SH ^18.04.2022^,69.08,0.98,83107.0
AG ^18.04.2022^,68.83,0.73,694072.0
VS ^18.04.2022^,68.13,1.79,348503.0
LU ^18.04.2022^,67.74,1.42,416347.0
NW ^18.04.2022^,67.38,1.05,43520.0
UR ^18.04.2022^,65.22,0.68,36819.0
JU ^18.04.2022^,64.3,2.78,73709.0
GL ^18.04.2022^,63.49,0.67,40851.0
SG ^18.04.2022^,63.44,0.41,514504.0
TG ^18.04.2022^,62.55,1.49,282909.0
AR ^18.04.2022^,61.76,0.78,55309.0
OW ^18.04.2022^,61.35,2.23,38108.0
SZ ^18.04.2022^,60.38,0.89,162157.0
AI ^18.04.2022^,57.14,0.34,16293.0
all ^18.04.2022^,,,
neighboring_chfl ^18.04.2022^,,,
unknown ^18.04.2022^,,,
