Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^24.02.2022^,73.04,1.22,196735.0
TI ^24.02.2022^,72.14,1.22,350986.0
BL ^24.02.2022^,71.41,1.26,290969.0
NE ^24.02.2022^,71.13,2.76,175894.0
ZH ^24.02.2022^,70.85,0.78,1553423.0
BE ^24.02.2022^,70.28,0.85,1043132.0
VD ^24.02.2022^,70.01,0.86,814762.0
SO ^24.02.2022^,69.83,1.0,277462.0
GR ^24.02.2022^,69.62,1.6,200096.0
GE ^24.02.2022^,69.2,1.74,506343.0
FR ^24.02.2022^,69.17,0.89,325496.0
ZG ^24.02.2022^,69.12,0.96,128794.0
CH ^24.02.2022^,68.89,1.2,8670300.0
SH ^24.02.2022^,68.89,1.11,83107.0
AG ^24.02.2022^,68.62,0.86,694072.0
LU ^24.02.2022^,67.61,1.51,416347.0
NW ^24.02.2022^,67.5,1.18,43520.0
VS ^24.02.2022^,66.36,4.21,348503.0
OW ^24.02.2022^,66.26,4.59,38108.0
UR ^24.02.2022^,65.16,0.72,36819.0
JU ^24.02.2022^,63.84,3.11,73709.0
SG ^24.02.2022^,63.31,0.49,514504.0
GL ^24.02.2022^,63.27,0.83,40851.0
TG ^24.02.2022^,62.41,1.57,282909.0
AR ^24.02.2022^,61.67,0.82,55309.0
SZ ^24.02.2022^,60.25,0.95,162157.0
AI ^24.02.2022^,57.1,0.34,16293.0
all ^24.02.2022^,,,
neighboring_chfl ^24.02.2022^,,,
unknown ^24.02.2022^,,,
