Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^14.03.2022^,73.21,1.14,196735.0
TI ^14.03.2022^,72.26,1.14,350986.0
BL ^14.03.2022^,71.53,1.19,290969.0
NE ^14.03.2022^,71.25,2.67,175894.0
ZH ^14.03.2022^,71.08,0.61,1553423.0
BE ^14.03.2022^,70.46,0.73,1043132.0
VD ^14.03.2022^,70.23,0.79,814762.0
SO ^14.03.2022^,69.93,0.93,277462.0
GR ^14.03.2022^,69.71,1.55,200096.0
GE ^14.03.2022^,69.37,1.63,506343.0
ZG ^14.03.2022^,69.37,0.77,128794.0
FR ^14.03.2022^,69.31,0.83,325496.0
CH ^14.03.2022^,69.11,1.01,8670300.0
SH ^14.03.2022^,69.03,1.01,83107.0
AG ^14.03.2022^,68.78,0.75,694072.0
VS ^14.03.2022^,68.09,1.81,348503.0
LU ^14.03.2022^,67.71,1.45,416347.0
NW ^14.03.2022^,67.56,1.14,43520.0
OW ^14.03.2022^,66.28,4.58,38108.0
UR ^14.03.2022^,65.2,0.7,36819.0
JU ^14.03.2022^,64.27,2.79,73709.0
GL ^14.03.2022^,63.43,0.7,40851.0
SG ^14.03.2022^,63.41,0.42,514504.0
TG ^14.03.2022^,62.49,1.52,282909.0
AR ^14.03.2022^,61.73,0.79,55309.0
SZ ^14.03.2022^,60.33,0.9,162157.0
AI ^14.03.2022^,57.14,0.31,16293.0
all ^14.03.2022^,,,
neighboring_chfl ^14.03.2022^,,,
unknown ^14.03.2022^,,,
