Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
UR ^25.04.2021^,12.89540364547857,6.588017328283792,36703
GL ^25.04.2021^,12.342941611234295,3.601872382360187,40590
GE ^25.04.2021^,12.022145169480766,9.132601244128475,504128
OW ^25.04.2021^,11.850777748484049,2.29633535460058,37930
NW ^25.04.2021^,11.82259150091675,5.639752129412584,43087
BL ^25.04.2021^,11.687647684718172,12.155747785592881,289468
SO ^25.04.2021^,11.682597812146907,6.722325765585093,275247
GR ^25.04.2021^,11.163143587862587,8.783997668587737,199021
TI ^25.04.2021^,11.063156666884785,9.770378188915222,351491
ZG ^25.04.2021^,10.983845442722615,8.622553704893374,127642
NE ^25.04.2021^,10.824041338047321,10.804210860302783,176496
VS ^25.04.2021^,10.586788220823385,6.9473988857535645,345525
SG ^25.04.2021^,10.53679606213802,8.806541174074958,510734
AG ^25.04.2021^,10.518119983378169,9.15629624769445,685845
VD ^25.04.2021^,10.5141237464259,6.356617455266315,805098
AR ^25.04.2021^,10.446388312742357,8.044007575074398,55445
SH ^25.04.2021^,10.442269393306455,12.626900471171126,82348
LU ^25.04.2021^,10.179366769945778,6.106942292796282,413120
CH ^25.04.2021^,10.05011251990319,8.155639189391907,8606033
JU ^25.04.2021^,9.898891063274624,7.50434877147206,73584
BE ^25.04.2021^,9.83516663235444,8.827156812002993,1039474
SZ ^25.04.2021^,9.827392821535394,5.350199401794616,160480
BS ^25.04.2021^,9.696493127182858,8.727865035436368,195844
TG ^25.04.2021^,9.666353064064362,7.40626799786798,279547
FR ^25.04.2021^,9.439280508914392,6.771333476286815,321783
AI ^25.04.2021^,9.412202380952381,8.81076388888889,16128
ZH ^25.04.2021^,7.662243588702474,8.000584690844716,1539275
