Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
ZH ^17.08.2021^,54.37,4.77,1539275.0
BL ^17.08.2021^,54.27,4.62,289468.0
TI ^17.08.2021^,54.19,4.3,351491.0
BS ^17.08.2021^,53.96,5.12,195844.0
ZG ^17.08.2021^,52.46,5.14,127642.0
SH ^17.08.2021^,52.27,4.88,82348.0
BE ^17.08.2021^,52.22,4.96,1039474.0
SO ^17.08.2021^,51.46,3.61,275247.0
AG ^17.08.2021^,50.34,3.39,685845.0
CH ^17.08.2021^,50.24,5.62,8606033.0
GE ^17.08.2021^,49.62,6.84,504128.0
NE ^17.08.2021^,49.49,8.63,176496.0
GR ^17.08.2021^,49.02,5.69,199021.0
VD ^17.08.2021^,48.42,9.82,805098.0
LU ^17.08.2021^,47.74,4.69,413120.0
FR ^17.08.2021^,47.12,8.03,321783.0
JU ^17.08.2021^,46.78,5.73,73584.0
VS ^17.08.2021^,46.71,8.38,345525.0
TG ^17.08.2021^,45.54,4.21,279547.0
UR ^17.08.2021^,45.16,4.53,36703.0
NW ^17.08.2021^,45.12,4.71,43087.0
SZ ^17.08.2021^,44.88,3.69,160480.0
SG ^17.08.2021^,44.03,5.8,510734.0
AR ^17.08.2021^,43.86,4.31,55445.0
GL ^17.08.2021^,42.87,5.8,40590.0
OW ^17.08.2021^,40.94,4.31,37930.0
AI ^17.08.2021^,40.18,3.39,16128.0
all ^17.08.2021^,,,
neighboring_chfl ^17.08.2021^,,,
unknown ^17.08.2021^,,,
