date,verabreichte Dosen
2021-01-31,111369.0
2021-02-07,99903.0
2021-02-14,133582.0
2021-02-21,130309.0
2021-02-28,137759.0
2021-03-07,151283.0
2021-03-14,151461.0
2021-03-21,150743.0
2021-03-28,181415.0
2021-04-04,174119.0
2021-04-11,209744.0
2021-04-18,293934.0
2021-04-25,365060.0
2021-05-02,386911.0
2021-05-09,450422.0
2021-05-16,467081.0
2021-05-23,568014.0
2021-05-30,554329.0
2021-06-06,632912.0
2021-06-13,641351.0
2021-06-20,600852.0
2021-06-27,517541.0
2021-07-04,447292.0
2021-07-11,412016.0
2021-07-18,363789.0
2021-07-25,293981.0
2021-08-01,187028.0
2021-08-08,136535.0
2021-08-15,133342.0
2021-08-22,142965.0
2021-08-29,159261.0
2021-09-05,155395.0
2021-09-12,191516.0
2021-09-19,219041.0
2021-09-26,193051.0
2021-10-03,163526.0
2021-10-10,162189.0
2021-10-17,111657.0
