Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^17.11.2021^,68.74,1.61,196735.0
TI ^17.11.2021^,68.57,1.36,350986.0
ZH ^17.11.2021^,67.49,1.14,1553423.0
BL ^17.11.2021^,67.18,1.77,290969.0
VD ^17.11.2021^,67.03,1.4,814762.0
BE ^17.11.2021^,66.23,1.49,1043132.0
GR ^17.11.2021^,66.09,2.19,200096.0
FR ^17.11.2021^,66.04,1.36,325496.0
ZG ^17.11.2021^,65.85,1.23,128794.0
GE ^17.11.2021^,65.72,2.53,506343.0
SO ^17.11.2021^,65.65,1.56,277462.0
SH ^17.11.2021^,65.47,1.5,83107.0
CH ^17.11.2021^,65.1,1.82,8670300.0
AG ^17.11.2021^,64.24,1.52,694072.0
NW ^17.11.2021^,63.89,1.74,43520.0
LU ^17.11.2021^,63.8,1.95,416347.0
NE ^17.11.2021^,62.98,8.36,175894.0
UR ^17.11.2021^,62.5,1.23,36819.0
VS ^17.11.2021^,62.43,4.6,348503.0
JU ^17.11.2021^,60.16,4.59,73709.0
GL ^17.11.2021^,59.51,1.63,40851.0
SG ^17.11.2021^,59.38,1.29,514504.0
TG ^17.11.2021^,58.69,1.92,282909.0
AR ^17.11.2021^,58.44,1.32,55309.0
OW ^17.11.2021^,57.14,3.27,38108.0
SZ ^17.11.2021^,57.03,1.48,162157.0
AI ^17.11.2021^,53.84,0.96,16293.0
all ^17.11.2021^,,,
neighboring_chfl ^17.11.2021^,,,
unknown ^17.11.2021^,,,
