date,verabreichte Dosen
2021-01-31,111396.0
2021-02-07,99909.0
2021-02-14,133608.0
2021-02-21,130335.0
2021-02-28,137791.0
2021-03-07,151313.0
2021-03-14,151473.0
2021-03-21,150773.0
2021-03-28,181442.0
2021-04-04,174158.0
2021-04-11,209773.0
2021-04-18,293962.0
2021-04-25,365089.0
2021-05-02,386937.0
2021-05-09,450445.0
2021-05-16,467096.0
2021-05-23,568064.0
2021-05-30,554363.0
2021-06-06,632942.0
2021-06-13,641377.0
2021-06-20,600878.0
2021-06-27,517582.0
2021-07-04,447314.0
2021-07-11,412032.0
2021-07-18,363800.0
2021-07-25,293968.0
2021-08-01,187051.0
2021-08-08,136560.0
2021-08-15,133359.0
2021-08-22,142993.0
2021-08-29,159374.0
2021-09-05,155469.0
2021-09-12,191691.0
2021-09-19,219476.0
2021-09-26,193541.0
2021-10-03,164008.0
2021-10-10,162918.0
2021-10-17,168419.0
2021-10-24,139936.0
