date,nicht/teilw. geimpft,vollständig geimpft
2021-01-31,13.7,484.1
2021-02-07,10.7,217.0
2021-02-14,8.3,78.4
2021-02-21,8.7,44.2
2021-02-28,8.6,27.0
2021-03-07,9.2,21.9
2021-03-14,9.2,18.1
2021-03-21,10.2,16.8
2021-03-28,12.4,17.5
2021-04-04,14.6,17.9
2021-04-11,13.5,13.9
2021-04-18,13.1,11.6
2021-04-25,13.1,9.7
2021-05-02,13.1,8.3
2021-05-09,10.3,5.3
2021-05-16,6.7,2.7
2021-05-23,8.6,2.5
2021-05-30,6.6,1.5
2021-06-06,4.8,0.9
2021-06-13,3.4,0.5
2021-06-20,2.7,0.4
2021-06-27,2.0,0.2
2021-07-04,0.7,0.1
2021-07-11,1.6,0.2
2021-07-18,4.2,0.4
2021-07-25,6.8,0.6
2021-08-01,9.0,0.8
2021-08-08,12.6,1.1
2021-08-15,22.9,1.9
2021-08-22,33.4,2.7
2021-08-29,37.1,2.9
2021-09-05,32.8,2.5
2021-09-12,29.7,2.2
2021-09-19,27.6,2.0
2021-09-26,26.4,1.8
2021-10-03,17.6,1.2
2021-10-10,18.3,1.2
2021-10-17,16.5,1.0
