Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^27.06.2021^,38.91,15.68,195844
TI ^27.06.2021^,38.29,14.6,351491
GE ^27.06.2021^,37.89,16.45,504128
BL ^27.06.2021^,37.23,14.68,289468
BE ^27.06.2021^,37.15,13.82,1039474
SH ^27.06.2021^,36.03,16.82,82348
OW ^27.06.2021^,35.66,4.01,37930
UR ^27.06.2021^,35.51,10.47,36703
LU ^27.06.2021^,34.91,11.97,413120
GL ^27.06.2021^,34.09,9.39,40590
CH ^27.06.2021^,34.06,15.98,8606033
NW ^27.06.2021^,33.95,10.99,43087
ZG ^27.06.2021^,33.64,17.93,127642
ZH ^27.06.2021^,33.42,20.42,1539275
GR ^27.06.2021^,33.41,13.87,199021
SO ^27.06.2021^,33.16,18.0,275247
AG ^27.06.2021^,33.14,14.54,685845
VS ^27.06.2021^,32.85,11.49,345525
AR ^27.06.2021^,32.84,11.4,55445
TG ^27.06.2021^,32.78,12.46,279547
SZ ^27.06.2021^,32.62,10.99,160480
VD ^27.06.2021^,32.53,18.88,805098
JU ^27.06.2021^,32.33,13.05,73584
AI ^27.06.2021^,31.97,9.34,16128
SG ^27.06.2021^,30.59,15.22,510734
NE ^27.06.2021^,30.51,19.52,176496
FR ^27.06.2021^,27.11,18.23,321783
