Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^28.02.2022^,73.14,1.18,196735.0
TI ^28.02.2022^,72.18,1.2,350986.0
BL ^28.02.2022^,71.48,1.22,290969.0
NE ^28.02.2022^,71.19,2.71,175894.0
ZH ^28.02.2022^,70.93,0.72,1553423.0
BE ^28.02.2022^,70.38,0.8,1043132.0
VD ^28.02.2022^,70.12,0.85,814762.0
SO ^28.02.2022^,69.87,0.97,277462.0
GR ^28.02.2022^,69.66,1.57,200096.0
GE ^28.02.2022^,69.28,1.69,506343.0
ZG ^28.02.2022^,69.25,0.86,128794.0
FR ^28.02.2022^,69.23,0.86,325496.0
CH ^28.02.2022^,69.02,1.07,8670300.0
SH ^28.02.2022^,68.97,1.05,83107.0
AG ^28.02.2022^,68.7,0.79,694072.0
VS ^28.02.2022^,68.01,1.88,348503.0
LU ^28.02.2022^,67.62,1.51,416347.0
NW ^28.02.2022^,67.52,1.17,43520.0
OW ^28.02.2022^,66.26,4.59,38108.0
UR ^28.02.2022^,65.17,0.71,36819.0
JU ^28.02.2022^,63.86,3.11,73709.0
SG ^28.02.2022^,63.34,0.46,514504.0
GL ^28.02.2022^,63.28,0.82,40851.0
TG ^28.02.2022^,62.44,1.55,282909.0
AR ^28.02.2022^,61.71,0.8,55309.0
SZ ^28.02.2022^,60.29,0.93,162157.0
AI ^28.02.2022^,57.12,0.33,16293.0
all ^28.02.2022^,,,
neighboring_chfl ^28.02.2022^,,,
unknown ^28.02.2022^,,,
