date,geboostert,vollst. geimpft,nicht vollst. geimpft
2021-07-04,,0.2,0.0
2021-07-11,,0.0,1.8
2021-07-18,,0.4,3.8
2021-07-25,,0.8,4.9
2021-08-01,,0.8,8.9
2021-08-08,,0.9,10.3
2021-08-15,,1.7,22.1
2021-08-22,,2.4,27.7
2021-08-29,,2.4,32.7
2021-09-05,,2.5,30.8
2021-09-12,,2.6,22.7
2021-09-19,,2.5,24.2
2021-09-26,,2.0,25.5
2021-10-03,,1.8,16.8
2021-10-10,,2.6,17.6
2021-10-17,,2.5,16.9
2021-10-24,,3.4,16.7
2021-10-31,,3.8,26.9
2021-11-07,,5.2,31.4
2021-11-14,,6.9,42.5
2021-11-21,,10.5,71.4
2021-11-28,,12.9,87.2
2021-12-05,7.8,17.1,101.6
2021-12-12,7.0,20.6,102.1
2021-12-19,5.8,15.8,116.6
2021-12-26,7.3,20.0,103.6
2022-01-02,7.9,18.6,100.9
2022-01-09,7.6,26.0,98.1
2022-01-16,7.4,26.3,82.9
2022-01-23,7.5,31.0,79.7
2022-01-30,10.3,31.2,86.9
2022-02-06,10.1,35.4,87.0
2022-02-13,10.0,27.1,81.2
2022-02-20,10.4,25.3,65.5
2022-02-27,10.8,18.4,52.9
2022-03-06,13.5,27.3,73.0
2022-03-13,16.9,28.6,72.6
2022-03-20,17.2,30.3,82.0
2022-03-27,15.4,25.2,58.7
2022-04-03,9.2,12.2,35.7
