Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
TI ^01.11.2021^,67.45,1.64,350986.0
BS ^01.11.2021^,67.42,2.12,196735.0
ZH ^01.11.2021^,66.44,1.35,1553423.0
BL ^01.11.2021^,66.04,2.09,290969.0
VD ^01.11.2021^,65.61,2.04,814762.0
ZG ^01.11.2021^,64.98,1.25,128794.0
FR ^01.11.2021^,64.77,1.74,325496.0
GR ^01.11.2021^,64.73,2.7,200096.0
BE ^01.11.2021^,64.62,2.2,1043132.0
SH ^01.11.2021^,64.35,1.64,83107.0
SO ^01.11.2021^,64.34,1.89,277462.0
GE ^01.11.2021^,64.25,2.98,506343.0
CH ^01.11.2021^,63.8,2.23,8670300.0
AG ^01.11.2021^,63.06,1.7,694072.0
NW ^01.11.2021^,62.64,2.02,43520.0
LU ^01.11.2021^,62.3,2.42,416347.0
NE ^01.11.2021^,61.41,9.0,175894.0
UR ^01.11.2021^,61.17,1.61,36819.0
VS ^01.11.2021^,60.99,5.37,348503.0
JU ^01.11.2021^,58.92,4.9,73709.0
SG ^01.11.2021^,58.12,1.62,514504.0
GL ^01.11.2021^,58.09,2.11,40851.0
TG ^01.11.2021^,57.57,2.12,282909.0
AR ^01.11.2021^,57.1,1.67,55309.0
SZ ^01.11.2021^,55.87,1.73,162157.0
OW ^01.11.2021^,55.23,4.58,38108.0
AI ^01.11.2021^,52.99,1.06,16293.0
all ^01.11.2021^,,,
neighboring_chfl ^01.11.2021^,,,
unknown ^01.11.2021^,,,
