Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^30.05.2022^,73.41,1.06,196735.0
TI ^30.05.2022^,72.37,1.12,350986.0
BL ^30.05.2022^,71.65,1.16,290969.0
NE ^30.05.2022^,71.34,2.66,175894.0
ZH ^30.05.2022^,71.14,0.67,1553423.0
BE ^30.05.2022^,70.51,0.77,1043132.0
VD ^30.05.2022^,70.36,0.77,814762.0
SO ^30.05.2022^,70.03,0.91,277462.0
GR ^30.05.2022^,69.82,1.52,200096.0
ZG ^30.05.2022^,69.52,0.74,128794.0
GE ^30.05.2022^,69.51,1.61,506343.0
FR ^30.05.2022^,69.37,0.86,325496.0
CH ^30.05.2022^,69.19,0.99,8670300.0
SH ^30.05.2022^,69.12,0.99,83107.0
AG ^30.05.2022^,68.88,0.73,694072.0
VS ^30.05.2022^,68.23,1.76,348503.0
LU ^30.05.2022^,67.79,1.42,416347.0
NW ^30.05.2022^,67.44,1.06,43520.0
UR ^30.05.2022^,65.28,0.69,36819.0
JU ^30.05.2022^,64.36,2.78,73709.0
GL ^30.05.2022^,63.53,0.67,40851.0
SG ^30.05.2022^,63.53,0.39,514504.0
TG ^30.05.2022^,62.61,1.48,282909.0
AR ^30.05.2022^,61.81,0.78,55309.0
OW ^30.05.2022^,61.37,2.23,38108.0
SZ ^30.05.2022^,60.44,0.88,162157.0
AI ^30.05.2022^,57.18,0.34,16293.0
all ^30.05.2022^,,,
neighboring_chfl ^30.05.2022^,,,
unknown ^30.05.2022^,,,
