date,verabreichte Dosen
2021-01-31,111162.0
2021-02-07,99548.0
2021-02-14,133255.0
2021-02-21,130021.0
2021-02-28,137461.0
2021-03-07,151000.0
2021-03-14,151066.0
2021-03-21,150306.0
2021-03-28,181023.0
2021-04-04,173444.0
2021-04-11,209436.0
2021-04-18,293262.0
2021-04-25,364385.0
2021-05-02,386009.0
2021-05-09,449794.0
2021-05-16,467118.0
2021-05-23,567046.0
2021-05-30,553301.0
2021-06-06,631350.0
2021-06-13,640171.0
2021-06-20,600107.0
2021-06-27,515625.0
2021-07-04,445258.0
2021-07-11,410026.0
2021-07-18,361779.0
2021-07-25,290301.0
2021-08-01,139867.0
