Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^20.02.2022^,72.83,1.41,196735.0
TI ^20.02.2022^,72.11,1.25,350986.0
BL ^20.02.2022^,71.32,1.34,290969.0
NE ^20.02.2022^,71.1,2.77,175894.0
ZH ^20.02.2022^,70.74,0.88,1553423.0
BE ^20.02.2022^,70.21,0.9,1043132.0
VD ^20.02.2022^,69.97,0.88,814762.0
SO ^20.02.2022^,69.75,1.06,277462.0
GR ^20.02.2022^,69.6,1.62,200096.0
FR ^20.02.2022^,69.14,0.91,325496.0
GE ^20.02.2022^,69.11,1.81,506343.0
ZG ^20.02.2022^,69.03,1.03,128794.0
SH ^20.02.2022^,68.86,1.13,83107.0
CH ^20.02.2022^,68.82,1.26,8670300.0
AG ^20.02.2022^,68.55,0.93,694072.0
LU ^20.02.2022^,67.56,1.55,416347.0
NW ^20.02.2022^,67.47,1.2,43520.0
VS ^20.02.2022^,66.3,4.27,348503.0
OW ^20.02.2022^,66.23,4.61,38108.0
UR ^20.02.2022^,65.1,0.77,36819.0
JU ^20.02.2022^,63.84,3.12,73709.0
SG ^20.02.2022^,63.26,0.52,514504.0
GL ^20.02.2022^,63.21,0.89,40851.0
TG ^20.02.2022^,62.35,1.61,282909.0
AR ^20.02.2022^,61.64,0.83,55309.0
SZ ^20.02.2022^,60.16,1.03,162157.0
AI ^20.02.2022^,57.02,0.42,16293.0
all ^20.02.2022^,,,
neighboring_chfl ^20.02.2022^,,,
unknown ^20.02.2022^,,,
