date,verabreichte Dosen
2021-01-31,111349.0
2021-02-07,99857.0
2021-02-14,133560.0
2021-02-21,130276.0
2021-02-28,137711.0
2021-03-07,151268.0
2021-03-14,151442.0
2021-03-21,150714.0
2021-03-28,181381.0
2021-04-04,174080.0
2021-04-11,209753.0
2021-04-18,293934.0
2021-04-25,365063.0
2021-05-02,386893.0
2021-05-09,450284.0
2021-05-16,467095.0
2021-05-23,568011.0
2021-05-30,554333.0
2021-06-06,632894.0
2021-06-13,641186.0
2021-06-20,600799.0
2021-06-27,517496.0
2021-07-04,447223.0
2021-07-11,411973.0
2021-07-18,363739.0
2021-07-25,293915.0
2021-08-01,186980.0
2021-08-08,136476.0
2021-08-15,133265.0
2021-08-22,142818.0
2021-08-29,159065.0
2021-09-05,154789.0
2021-09-12,190667.0
2021-09-19,217871.0
2021-09-26,191818.0
2021-10-03,161833.0
