Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^13.01.2022^,71.32,1.66,196735.0
TI ^13.01.2022^,71.09,1.52,350986.0
NE ^13.01.2022^,70.38,2.95,175894.0
ZH ^13.01.2022^,69.89,1.39,1553423.0
BL ^13.01.2022^,69.88,1.93,290969.0
VD ^13.01.2022^,69.26,1.11,814762.0
BE ^13.01.2022^,68.87,1.41,1043132.0
GR ^13.01.2022^,68.7,1.97,200096.0
FR ^13.01.2022^,68.52,1.06,325496.0
SO ^13.01.2022^,68.38,1.5,277462.0
GE ^13.01.2022^,68.25,1.96,506343.0
ZG ^13.01.2022^,68.12,1.1,128794.0
CH ^13.01.2022^,67.77,1.65,8670300.0
SH ^13.01.2022^,67.76,1.6,83107.0
AG ^13.01.2022^,67.32,1.39,694072.0
NW ^13.01.2022^,66.7,1.5,43520.0
LU ^13.01.2022^,66.4,2.02,416347.0
OW ^13.01.2022^,66.09,4.13,38108.0
VS ^13.01.2022^,64.68,4.37,348503.0
UR ^13.01.2022^,64.42,1.06,36819.0
JU ^13.01.2022^,62.99,3.6,73709.0
SG ^13.01.2022^,62.22,1.04,514504.0
GL ^13.01.2022^,62.21,1.36,40851.0
TG ^13.01.2022^,61.22,2.13,282909.0
AR ^13.01.2022^,60.64,1.44,55309.0
SZ ^13.01.2022^,59.22,1.47,162157.0
AI ^13.01.2022^,56.29,0.85,16293.0
all ^13.01.2022^,,,
neighboring_chfl ^13.01.2022^,,,
unknown ^13.01.2022^,,,
