Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
TI ^28.10.2021^,67.15,1.83,350986.0
BS ^28.10.2021^,66.94,2.41,196735.0
ZH ^28.10.2021^,66.13,1.51,1553423.0
BL ^28.10.2021^,65.7,2.29,290969.0
VD ^28.10.2021^,65.2,2.28,814762.0
ZG ^28.10.2021^,64.73,1.34,128794.0
FR ^28.10.2021^,64.45,1.92,325496.0
GR ^28.10.2021^,64.41,2.91,200096.0
BE ^28.10.2021^,64.24,2.44,1043132.0
SH ^28.10.2021^,64.15,1.73,83107.0
SO ^28.10.2021^,64.01,2.09,277462.0
GE ^28.10.2021^,63.9,3.19,506343.0
CH ^28.10.2021^,63.48,2.42,8670300.0
AG ^28.10.2021^,62.72,1.87,694072.0
NW ^28.10.2021^,62.45,2.1,43520.0
LU ^28.10.2021^,62.03,2.61,416347.0
UR ^28.10.2021^,60.93,1.72,36819.0
NE ^28.10.2021^,60.86,9.33,175894.0
VS ^28.10.2021^,60.79,5.48,348503.0
JU ^28.10.2021^,58.66,5.01,73709.0
SG ^28.10.2021^,57.88,1.77,514504.0
GL ^28.10.2021^,57.87,2.27,40851.0
TG ^28.10.2021^,57.25,2.28,282909.0
AR ^28.10.2021^,56.71,1.93,55309.0
SZ ^28.10.2021^,55.64,1.85,162157.0
OW ^28.10.2021^,55.2,4.6,38108.0
AI ^28.10.2021^,52.83,1.2,16293.0
all ^28.10.2021^,,,
neighboring_chfl ^28.10.2021^,,,
unknown ^28.10.2021^,,,
