Kanton ^aktualisiert^,zweifach Geimpfte,einfach Geimpfte,Bevölkerung
BS ^25.08.2021^,55.34,4.77,195844.0
BL ^25.08.2021^,55.23,4.53,289468.0
ZH ^25.08.2021^,55.16,4.86,1539275.0
TI ^25.08.2021^,54.73,4.73,351491.0
ZG ^25.08.2021^,53.25,5.56,127642.0
SH ^25.08.2021^,53.23,5.07,82348.0
BE ^25.08.2021^,53.23,5.23,1039474.0
SO ^25.08.2021^,52.17,4.3,275247.0
AG ^25.08.2021^,51.22,3.75,685845.0
CH ^25.08.2021^,51.18,5.74,8606033.0
GE ^25.08.2021^,50.88,6.34,504128.0
NE ^25.08.2021^,50.45,8.96,176496.0
GR ^25.08.2021^,49.93,5.96,199021.0
VD ^25.08.2021^,49.68,9.51,805098.0
LU ^25.08.2021^,48.54,5.23,413120.0
FR ^25.08.2021^,48.24,7.96,321783.0
VS ^25.08.2021^,48.19,8.15,345525.0
JU ^25.08.2021^,47.78,6.02,73584.0
NW ^25.08.2021^,46.38,4.64,43087.0
TG ^25.08.2021^,46.16,4.57,279547.0
UR ^25.08.2021^,45.84,4.78,36703.0
SZ ^25.08.2021^,45.71,3.82,160480.0
SG ^25.08.2021^,44.6,6.07,510734.0
AR ^25.08.2021^,44.55,5.03,55445.0
GL ^25.08.2021^,44.06,5.95,40590.0
OW ^25.08.2021^,42.57,4.36,37930.0
AI ^25.08.2021^,40.62,3.75,16128.0
all ^25.08.2021^,,,
neighboring_chfl ^25.08.2021^,,,
unknown ^25.08.2021^,,,
